position,artist,album,release_date,primary_genres,secondary_genres,descriptors,number_ratings,number_reviews,avg_rating,id_spotify
11,Anna von Hausswolff,Dead Magic,2 March 2018,Neoclassical Darkwave,"Ethereal Wave, Drone, Ambient, Experimental Rock","funereal, sombre, female vocals, atmospheric, ethereal, dark, nocturnal, mysterious","9,606",75,3.80,29haLrvX37jDkDfwVk4FKV
12,Kero Kero Bonito,Time 'n' Place,1 October 2018,"Twee Pop, Indie Pop","Noise Pop, Dream Pop, Indietronica, Power Pop, Synthpop","female vocals, quirky, noisy, bittersweet, playful, melodic, lonely, existential","15,312",99,3.77,5Az98PddCKwVoorl9pK6U7
13,Against All Logic,2012 - 2017,17 February 2018,Deep House,"Funky House, Outsider House, Microhouse","sampling, rhythmic, repetitive, party, urban, atmospheric, playful, uplifting","13,931",100,3.77,1uzfGk9vxMXfaZ2avqwxod
14,Ichiko Aoba 青葉市子,qp,24 October 2018,"Contemporary Folk, Singer-Songwriter",,"ethereal, soothing, calm, mellow, soft, female vocals, acoustic, sparse","4,107",17,3.79,60JwRRKU6wsdJex2cbq974
15,Niños del Cerro,Lance,31 August 2018,"Neo-Psychedelia, Indie Rock","Indie Pop, Dream Pop, Noise Pop, Shoegaze","spring, bittersweet, noisy, psychedelic, warm, sentimental, melodic, playful","1,660",14,3.80,5RCDf0SXVDDFh05ENL68JU
16,Parquet Courts,Wide Awake,18 May 2018,"Indie Rock, Art Punk","Post-Punk, Dance-Punk","political, rhythmic, sarcastic, energetic, male vocals, anxious, playful, conscious","11,689",100,3.74,5uTI2HcpAywDP8Vo1DpJta
17,George Clanton,Slide,17 August 2018,"Chillwave, Synthpop, Hypnagogic Pop","Dream Pop, Neo-Psychedelia, Alternative Dance, Baggy, Vapor","atmospheric, passionate, psychedelic, melodic, male vocals, hypnotic, mellow, warm","7,329",47,3.76,5bBMiaWBlqdbq7eW5XCyz1
18,Idles,Joy as an Act of Resistance.,31 August 2018,"Post-Punk, Post-Hardcore","Punk Rock, Art Punk, Noise Rock","political, aggressive, energetic, male vocals, sarcastic, rebellious, conscious, LGBT","13,519",115,3.71,7BbRSUBwTB37ut0Ht3yAqt
19,MGMT,Little Dark Age,9 February 2018,"Synthpop, Neo-Psychedelia, Psychedelic Pop","Hypnagogic Pop, New Wave","psychedelic, playful, lush, melodic, bittersweet, male vocals, quirky, warm","19,761",156,3.69,7GjVWG39IOj4viyWplJV4H
20,Playboi Carti,Die Lit,11 May 2018,"Trap, Cloud Rap, Southern Hip Hop","Pop Rap, Experimental Hip Hop, Plugg","repetitive, hypnotic, male vocals, drugs, boastful, sexual, hedonistic, rhythmic","20,661",211,3.66,7dAm8ShwJLFm9SaJ6Yc58O
21,Julia Holter,Aviary,26 October 2018,"Progressive Pop, Art Pop, Experimental","Chamber Jazz, Modern Classical, Free Improvisation, Modern Creative","lush, avant-garde, complex, ethereal, female vocals, atmospheric, progressive, surreal","7,192",96,3.72,6icpwcJQWK4nq9Xilk4yRu
22,Sons of Kemet,Your Queen Is a Reptile,30 March 2018,Afro-Jazz,"Afrobeat, Jazz-Funk, Dub, Jazz Poetry","rhythmic, protest, energetic, passionate, male vocals, conscious, tribal, political","5,668",44,3.71,4pxnDGBdoGu88h8ZInX5f5
23,Benny the Butcher,Tana Talk 3,23 November 2018,"East Coast Hip Hop, Gangsta Rap, Hardcore Hip Hop",Boom Bap,"drugs, crime, violence, urban, sampling, dark, male vocals, boastful","2,253",16,3.72,5OsHMGOg6lRV9REoVxbcWA
24,Natalia Lafourcade,Musas Vol. 2,9 February 2018,Nueva canción latinoamericana,"Mexican Folk Music, Bolero, Vals criollo, Folk Pop, Son cubano","female vocals, acoustic, calm, melodic, political, love, passionate, warm","2,786",19,3.71,7JbbUP152jaRbhQ7CJ1DOy
25,Death Grips,Year of the Snitch,22 June 2018,"Experimental Hip Hop, Abstract Hip Hop","Synth Punk, Glitch Hop, Noise Rock, Experimental Rock, Industrial Hip Hop","chaotic, cryptic, male vocals, sampling, surreal, dark, manic, abstract","19,899",137,3.63,46eayJPxf1cBWWUqNa2MJJ
26,Beach House,7,11 May 2018,"Dream Pop, Neo-Psychedelia","Shoegaze, Ethereal Wave, Ambient Pop, Space Rock Revival","ethereal, atmospheric, female vocals, lush, hypnotic, psychedelic, surreal, bittersweet","13,719",107,3.66,4qftBBO7pnYlek3mRENIvM
27,Haru Nemuri 春ねむり,春と修羅 (Haru to Shura),11 April 2018,"Noise Pop, J-Rock, J-Pop","Japanese Hip Hop, Post-Hardcore, Noise Rock, Art Rock, J-Pop","female vocals, energetic, passionate, rhythmic, eclectic, noisy, rebellious, anxious","7,165",24,3.67,6or18qH3INbHS0kyALV2HL
28,Atka,Untitled Album 1,17 July 2018,"Grindcore, Mathcore","Technical Death Metal, Avant-Garde Metal","technical, manic, chaotic, eclectic, uncommon time signatures, male vocals, complex, science fiction",743,9,3.70,66YMVX9NF9JVqwiXdxxII0
29,Skee Mask,Compro,15 May 2018,"Breakbeat, Ambient Techno","IDM, Atmospheric Drum and Bass","atmospheric, rhythmic, cold, instrumental, winter, futuristic, dense, repetitive","4,210",32,3.67,3yXIkSJWpudtgF0TZuB16U
30,Joel,Super Ghostbusters,20 November 2018,"Musical Comedy, Sequencer & Tracker, Musical Parody","Synth Funk, Sketch Comedy, Spoken Word, Zolo","humorous, repetitive, paranormal, manic, chaotic, male vocals, violence, concept album","1,036",42,3.60,
31,Spanish Love Songs,Schmaltz,30 March 2018,"Pop Punk, Emo","Emo-Pop, Post-Hardcore","depressive, melodic, self-hatred, pessimistic, anthemic, male vocals, passionate, anxious",894,6,3.68,4lLBXMKgq5R8Ky8SMgYW1A
32,Armand Hammer,Paraffin,13 July 2018,"Abstract Hip Hop, East Coast Hip Hop, Hardcore Hip Hop","Experimental Hip Hop, Conscious Hip Hop, Boom Bap","male vocals, sampling, rhythmic, conscious, urban, dense, introspective, nocturnal","3,527",16,3.66,1LkgalktPs3mJMbcD9dhY8
33,The Beths,Future Me Hates Me,10 August 2018,"Power Pop, Indie Rock",Pop Punk,"energetic, bittersweet, female vocals, playful, melodic, warm, self-hatred, breakup","2,196",22,3.67,4xG41eVnTuDK6uMmcksQ9B
34,Kali Uchis,Isolation,6 April 2018,"Neo-Soul, Contemporary R&B","Psychedelic Soul, Synth Funk, Sophisti-Pop, Alternative R&B","sensual, lush, female vocals, warm, sexual, melodic, love, eclectic","9,275",64,3.63,4EPQtdq6vvwxuYeQTrwDVY
35,The Ocean Collective,Phanerozoic I: Palaeozoic,2 November 2018,"Progressive Metal, Atmospheric Sludge Metal",,"progressive, dense, nature, atmospheric, concept album, male vocals, heavy, complex","1,353",12,3.66,5wXk12dqhJZAxJSsMBUd6e
36,Holy Fawn,Death Spells,14 September 2018,"Post-Metal, Shoegaze","Post-Rock, Dream Pop","atmospheric, melancholic, ethereal, heavy, forest, male vocals, noisy, hypnotic","1,337",6,3.66,7FftBO1RPryPqS91iua3ne
37,Tropical Fuck Storm,A Laughing Death in Meatspace,4 May 2018,"Art Punk, Punk Blues, Noise Rock","Psychedelic Rock, Post-Punk, Experimental Rock","noisy, political, male vocals, psychedelic, female vocals, rebellious, dark, manic","6,751",55,3.63,1Q351pwqlWprsmF8fIudo6
38,La Tène & Jacques Puech et Louis Jacques & Jérémie Sauvage et Guilhem Lacroux,Abandonnée/Maléja,7 December 2018,"Drone, Avant-Folk, Auvergnat Folk Music",Neo-Medieval Folk,"repetitive, hypnotic, medieval, acoustic, dissonant, ominous, folklore, instrumental",367,3,3.68,1qsSTzyJFtzPcs7evdS4UO
39,Rosalía,El mal querer,2 November 2018,"Flamenco Pop, Flamenco nuevo, Art Pop",Alternative R&B,"concept album, passionate, female vocals, love, breakup, sampling, folklore, melodic","6,912",46,3.62,355bjCHzRJztCzaG5Za4gq
40,Blind Girls,Residue,13 November 2018,Emoviolence,,"angry, female vocals, passionate, chaotic, energetic, aggressive, anxious, dissonant",628,2,3.67,7EKd1eoNjPslsTip5ri1Yu
41,Chapel of Disease,"...And as We Have Seen the Storm, We Have Embraced the Eye",23 November 2018,"Heavy Metal, Death Metal","Progressive Rock, Death 'n' Roll","heavy, complex, aggressive, melancholic, melodic, eclectic, sombre, uplifting","1,066",8,3.65,7cye2BphSsKue2ug5FymzI
42,Autechre,NTS Session 3,19 April 2018,IDM,"Glitch, Ambient","chaotic, generative music, hypnotic, mechanical, complex, avant-garde, cold, futuristic","1,139",5,3.64,7JvRHHEoBcg8NobOb2q1zc
43,Autechre,NTS Session 4,26 April 2018,"Ambient, Drone, Electronic","Glitch, IDM, Dark Ambient","atmospheric, instrumental, generative music, futuristic, repetitive, surreal, dense, cold","1,120",9,3.64,1MaHKrJ2V6yxjsiuZVQs7d
44,Yves Tumor,Safe in the Hands of Love,5 September 2018,"Neo-Psychedelia, Post-Industrial, Art Pop","Hypnagogic Pop, Art Pop, Trip Hop, Deconstructed Club, Experimental Rock","psychedelic, eclectic, surreal, atmospheric, dense, dark, abstract, longing","9,401",51,3.60,1IpYZkYoYCjXTYMDEW8Ksk
45,Maisha,There Is a Place,9 November 2018,Spiritual Jazz,"Afro-Jazz, Jazz Fusion","improvisation, instrumental, psychedelic, lush, spiritual, passionate, rhythmic, avant-garde",463,6,3.67,6dL12dbKATr4ZdSQ6DCmww
46,Spectral Wound,Infernal Decadence,2 June 2018,Black Metal,"Atmospheric Black Metal, Melodic Black Metal","melodic, dense, aggressive, dark, atmospheric, occult, ominous, nihilistic","1,043",10,3.65,1P6N27mhdSTKwHuhngx7ny
47,Pseudocommando,A Home Beneath the Floorboards,7 March 2018,Harsh Noise,"Harsh Noise Wall, Power Electronics","noisy, dark, scary, apocalyptic, dense, infernal, instrumental, hypnotic",389,12,3.63,7GtyciBOmL3j6k7M2yW9pr
48,TTNG,Animals Acoustic,5 October 2018,"Acoustic Rock, Midwest Emo, Math Rock",Chamber Pop,"sentimental, acoustic, melodic, passionate, bittersweet, melancholic, mellow, introspective",726,4,3.64,5VmLDp0QQKLh51469u3uuH
49,Sleep,The Sciences,20 April 2018,"Stoner Metal, Doom Metal",,"drugs, heavy, psychedelic, male vocals, space, science fiction, hypnotic, repetitive","6,006",52,3.61,790MeSzafcgXNCoY2AagnP
50,Kasper Bjørke Quartet,The Fifty Eleven Project,19 October 2018,"Post-Minimalism, Ambient","Drone, Dark Ambient","atmospheric, peaceful, instrumental, minimalistic, soothing, repetitive, bittersweet, mysterious",315,1,3.66,4eC4jQZQZ3e7flVw1lX0BJ
51,The Caretaker,Everywhere at the End of Time: Stage 4,5 April 2018,"Sound Collage, Turntable Music, Dark Ambient","Drone, Glitch, Ambient, British Dance Band","disturbing, concept album, noisy, surreal, chaotic, ominous, sampling, depressive","2,779",24,3.61,
52,Low,Double Negative,14 September 2018,"Ambient Pop, Glitch Pop","Drone, Post-Industrial, Slowcore, Electroacoustic","atmospheric, noisy, melancholic, ethereal, male vocals, surreal, female vocals, hypnotic","6,709",75,3.59,1zTkgOHx3mjrUvrhxq4osf
53,Convulsing,Grievous,22 August 2018,"Black Metal, Death Metal, Dissonant Death Metal",Technical Death Metal,"technical, aggressive, dissonant, heavy, male vocals, depressive, ominous, alienation",785,7,3.63,
54,Saba,Care for Me,5 April 2018,"Conscious Hip Hop, Jazz Rap","Neo-Soul, Jazz Rap, Cloud Rap, Trap","introspective, male vocals, depressive, mellow, alienation, melancholic, urban, sombre","6,611",61,3.60,6Te111t5gDZ7W94myHRqUt
55,Rubio,Pez,12 October 2018,"Art Pop, Synthpop, Alt-Pop","Trip Hop, Electropop, Contemporary R&B","nocturnal, dark, rhythmic, female vocals, atmospheric, mysterious, melodic, sombre",449,2,3.64,6ElwrnqexW70uUy0pwkDOu
56,Noname,Room 25,14 September 2018,"Jazz Rap, Conscious Hip Hop","Neo-Soul, Jazz Poetry","introspective, female vocals, conscious, poetic, lush, sexual, bittersweet, melodic","7,172",36,3.59,7oHM3Sj0l2nXAzGAxW0KOt
57,Mount Eerie,Now Only,16 March 2018,"Indie Folk, Singer-Songwriter","Avant-Folk, Indie Rock","death, introspective, love, melancholic, male vocals, existential, sombre, raw","5,400",57,3.59,7aQG6DxwFmUKVhkOJtlCZ1
58,Jesus Belluci,Limp Pumpo,2018,Ghettotech,"Jungle, Footwork, Mashup, Breakcore, Hardcore Breaks","humorous, party, sampling, lo-fi, hypnotic, surreal, playful, quirky",862,8,3.63,
59,Hermit and the Recluse,Orpheus vs. the Sirens,18 August 2018,"Abstract Hip Hop, East Coast Hip Hop, Drumless","Experimental Hip Hop, Conscious Hip Hop","mythology, concept album, minimalistic, male vocals, sampling, abstract, atmospheric, mellow","3,719",21,3.60,4sVQxRB4q2HYJP79u6XC7F
60,Avantdale Bowling Club,Avantdale Bowling Club,17 August 2018,"Jazz Rap, Conscious Hip Hop","Modal Jazz, Conscious Hip Hop","conscious, introspective, male vocals, rhythmic, urban, mellow, melancholic, poetic","3,963",36,3.60,7i3miCDTbzWM9pWeNUEsdV
61,Autechre,NTS Session 2,12 April 2018,IDM,"Glitch, Ambient","futuristic, complex, chaotic, generative music, avant-garde, cold, mechanical, surreal","1,271",11,3.61,2WDQyrKx5vBIFptYBEAxQY
62,Mac Miller,Swimming,3 August 2018,"Pop Rap, Alternative R&B","Jazz Rap, Neo-Soul, Synth Funk","mellow, introspective, bittersweet, male vocals, alcohol, lonely, calm, melancholic","8,260",29,3.58,5wtE5aLX5r7jOosmPhJhhk
63,Dirge,Lost Empyrean,14 December 2018,Atmospheric Sludge Metal,"Doom Metal, Post-Rock","heavy, atmospheric, male vocals, dark, repetitive, apocalyptic, cold, melancholic",424,4,3.63,3VlTRvgWOaz68Qe3n3Ff3V
64,Wulkanaz,Wulkanaz,26 November 2018,Black Metal,Hardcore Punk,"dark, energetic, raw, male vocals, lo-fi, surreal, aggressive, nature",419,3,3.62,6KrCayGtW9hw92md9YS8F4
65,Surface to Air Missive,Surface II Air Missive,29 October 2018,Indie Rock,"Noise Pop, Power Pop, Progressive Rock, Garage Punk, Math Rock","male vocals, introspective, playful, energetic, anxious, melodic, progressive, lonely",295,5,3.64,6JRnJ0n87VnIiLXiV9jLJ6
66,All Traps on Earth,A Drop of Light,16 November 2018,Progressive Rock,"Symphonic Prog, Zeuhl","female vocals, complex, uncommon time signatures, technical, progressive",490,9,3.61,0JkgzcirujvUCqmUIVwjPk
67,Deceased...,Ghostly White,16 November 2018,"Thrash Metal, Death Metal",Heavy Metal,"energetic, melodic, angry, death, paranormal, epic, aggressive, raw",375,6,3.63,47FHKxjNszn6XUdeV76wzY
68,Niño de Elche,Antología del cante flamenco heterodoxo,23 February 2018,"Avant-Folk, Flamenco nuevo","Saeta, Pasodoble, Zarzuela, Tape Music, Rumba flamenca","avant-garde, male vocals, eclectic, sombre, passionate, folklore, poetic, philosophical",775,16,3.61,6RsMp6XwkcoZLSX6b1IeBL
69,Masta Ace & Marco Polo,A Breukelen Story,9 November 2018,"East Coast Hip Hop, Boom Bap",Conscious Hip Hop,"rhythmic, urban, male vocals, conscious, sampling",382,7,3.63,1R3JKxtFrNZI31eNg0JYth
70,Viagra Boys,Street Worms,28 September 2018,Post-Punk,"Art Punk, Garage Punk, Dance-Punk","quirky, male vocals, manic, sports, rhythmic, raw, sarcastic, humorous","2,529",12,3.60,7GCnSXQc6H4vF8TU7hSdSk
71,rook,Shed Blood,2 July 2018,"Post-Industrial, Art Pop","Industrial Rock, Glitch Pop, Electroclash","female vocals, alienation, aggressive, anxious, introspective, violence, LGBT, cold",791,6,3.61,1rDustSoqFUWDIHUKj6K8d
72,Tim Hecker,Konoyo,28 September 2018,"Ambient, Electroacoustic, Drone","Gagaku, Glitch, Post-Minimalism","surreal, atmospheric, instrumental, dissonant, sombre, melancholic, cold, ominous","5,543",34,3.58,3FYKctbabtp8tVrKVfE2el
73,The Voidz,Virtue,30 March 2018,"Art Rock, Neo-Psychedelia","Synthpop, Experimental Rock, Noise Pop, Alternative Dance, Neo-Psychedelia","eclectic, futuristic, psychedelic, chaotic, male vocals, noisy, cryptic, quirky","6,903",74,3.56,2dMmcXlG8xtRJNlsjIrPWe
74,Amorphis,Queen of Time,18 May 2018,Progressive Metal,"Folk Metal, Symphonic Metal, Melodic Death Metal","male vocals, melodic, epic, nature, mythology, energetic, passionate, folklore","1,449",22,3.59,64ViBpqRReiQWzBI7VjI0i
75,Imperial Triumphant,Vile Luxury,13 July 2018,"Avant-Garde Metal, Black Metal, Dissonant Death Metal","Avant-Garde Jazz, Technical Death Metal","chaotic, dissonant, complex, technical, progressive, surreal, avant-garde, male vocals","1,865",22,3.58,3P3PS8Iucg9CMeZyrxaElf
76,Voïvod,The Wake,21 September 2018,Progressive Metal,Technical Thrash Metal,"science fiction, male vocals, uncommon time signatures, complex, futuristic, concept album, technical, philosophical","1,134",18,3.59,097DmmcskEDBUEgFJaIbvG
77,Makaya McCraven,Universal Beings,26 October 2018,"Jazz Fusion, Nu Jazz","Avant-Garde Jazz, Instrumental Hip Hop, Downtempo, Jazz-Funk, Spiritual Jazz","improvisation, instrumental, urban, mellow, playful",775,7,3.61,2fEZ0XvLzVlJwptD4gSacu
78,Fluisteraars / Turia,De oord,28 September 2018,Atmospheric Black Metal,,"female vocals, winter, atmospheric, male vocals, cold",335,2,3.62,1nrpQtovGlTwnUbvar7mRl
79,Alpha Wann,Une main lave l'autre,21 September 2018,"French Hip Hop, Trap",Conscious Hip Hop,"introspective, urban, political, boastful, conscious, existential, technical, male vocals",355,2,3.61,7KNQIQwGaW7FnFsa7I3Kl7
80,Mitski,Be the Cowboy,17 August 2018,"Art Pop, Indie Rock","Chamber Pop, Indie Pop, Dream Pop, New Wave","introspective, sentimental, bittersweet, melancholic, female vocals, lonely, love, romantic","11,166",82,3.54,653wRjqO0GOZPQPcXpeAXD
81,VOLA,Applause of a Distant Crowd,12 October 2018,Progressive Metal,"Dream Pop, Progressive Rock, Djent, Alternative Metal","male vocals, ethereal, melodic, progressive, lush, atmospheric, uncommon time signatures, concept album",675,9,3.59,2sGgHaebVkUg4PGcNp6XKA
82,Heaven's Emperor,Teenage Poetry,8 September 2018,"Drone, Plunderphonics","Sound Collage, Noise, Vaporwave, Ambient, Spoken Word","depressive, ethereal, suicide, noisy, sampling, surreal, atmospheric, LGBT",650,11,3.58,
83,G Jones,The Ineffable Truth,26 October 2018,"Hybrid Trap, Trap [EDM]","Wonky, Halftime, Hardcore Breaks, Glitch Hop [EDM], Brostep","futuristic, mechanical, heavy, surreal, rhythmic, sampling, playful, atmospheric",520,2,3.59,4wcUbqKSiZv4kNoJ3KOmrS
84,Esoctrilihum,Inhüma,19 October 2018,"Black Metal, Death Metal",,"aggressive, chaotic, dense, infernal, male vocals, surreal, dissonant, fantasy",667,5,3.59,7xqCEpYUSDr2FFUEw6BoqN
85,Hop Along,"Bark Your Head Off, Dog",6 April 2018,Indie Rock,"Chamber Pop, Indie Pop","androgynous vocals, passionate, melodic, bittersweet, warm, sentimental, anxious, playful","3,735",38,3.57,7taAuoHvZ4LJzEaB0OzuP3
86,Kryptonyte,Kryptonyte,21 September 2018,"Southern Hip Hop, Memphis Rap","Chopped and Screwed, Cloud Rap","lo-fi, raw, female vocals, male vocals, lethargic, drugs, crime, hypnotic",507,2,3.60,63i5f0hKk7r5qQ33edx0wl
87,Un,Sentiment,28 September 2018,Funeral Doom Metal,Death Doom Metal,"male vocals, sombre, funereal, atmospheric, heavy, melodic, passionate, epic",295,4,3.61,0v8ztjx0cNNdZXq8ZsSS7T
88,Qujaku,Qujaku,16 August 2018,"Noise Rock, Experimental Rock","Post-Rock, Heavy Psych","ominous, heavy, ritualistic, hypnotic, repetitive, male vocals, noisy, apocalyptic",392,3,3.60,1iu99quMOAs8DMVUJVjP7V
89,Gurrumul,Djarimirri: Child of the Rainbow,13 April 2018,"Post-Minimalism, Indigenous Australian Traditional Music",Chamber Music,"melancholic, spiritual, repetitive, male vocals, nature, lush, orchestral, melodic",382,4,3.60,3KFh9MQkTDYrEUMBIxSW1u
90,Vein,Errorzone,22 June 2018,"Metalcore, Mathcore","Nu Metal, Alternative Metal","chaotic, aggressive, heavy, manic, male vocals, dense, dissonant, angry","2,908",33,3.57,5KSIgVF5lx4JURkS50jRS9
91,Machine Girl,The Ugly Art,12 October 2018,Digital Hardcore,"Hardcore Breaks, Electro-Industrial, Synth Punk, Breakcore","aggressive, chaotic, manic, futuristic, energetic, noisy, rebellious, sampling","3,211",30,3.56,6yRb6KVPZWwY6oLmNDXmO6
92,Justice,Woman Worldwide,24 August 2018,"Electro House, Mashup","Electro-Disco, Nu-Disco, Electropop, Synthpop, Synth Funk","progressive, dense, mashup, male vocals, energetic, rhythmic, party, melodic",539,8,3.58,7E3c9dmZ1KnZOQLZTgRqWx
93,Sulphur Aeon,The Scythe of Cosmic Chaos,21 December 2018,"Death Metal, Black Metal","Melodic Black Metal, Progressive Metal","atmospheric, epic, ominous, mysterious, occult, male vocals, heavy, aggressive",700,6,3.58,6eNQ5r6w592ZpQJdSi01WG
94,Drug Church,Cheer,2 November 2018,Post-Hardcore,"Emo, Alternative Rock, Melodic Hardcore","rebellious, energetic, passionate, angry, male vocals, aggressive, melodic, sarcastic",648,9,3.59,2pQ3HNNkj7o2RJTguqfqO2
95,Blood Orange,Negro Swan,24 August 2018,"Alternative R&B, Sophisti-Pop","Neo-Soul, Synth Funk, Art Pop, Ambient Pop","LGBT, lush, mellow, introspective, conscious, male vocals, urban, bittersweet","6,176",32,3.55,7bvmGyFDwpHNRRRZJ0AHvn
96,Judas Priest,Firepower,9 March 2018,Heavy Metal,,"male vocals, energetic, anthemic, heavy, melodic, epic, triumphant","4,335",62,3.56,7p3G0OCxtlWyJcPE1FxnyB
97,Night Verses,From the Gallery of Sleep,29 June 2018,Progressive Metal,"Math Rock, Post-Rock, Djent, Post-Hardcore","instrumental, complex, progressive, uncommon time signatures, energetic, technical, atmospheric, dense",490,6,3.59,4HYYq0DrvR7L6G7nINEw69
98,Ćpaj Stajl,Lato w ghettcie,4 September 2018,Hardcore Hip Hop,"Trap, Gangsta Rap, Experimental Hip Hop","aggressive, alcohol, drugs, violence, playful, hedonistic, crime, vulgar",483,2,3.59,3ZOE4qbuIYQpNOoDLEWKb4
99,Tamino,Amir,19 October 2018,"Art Pop, Singer-Songwriter","Chamber Pop, Trip Hop, Arabic Music","calm, mellow, peaceful, atmospheric, passionate, ethereal, male vocals, serious",402,1,3.60,5RL52Y9Q7wmjcYvibTczjJ
100,Cat System Corp. 猫 シ Corp.,Palm Mall Mars,17 June 2018,Mallsoft,"Ambient, Field Recordings, Sound Collage","calm, sampling, atmospheric, ethereal, soothing, instrumental, repetitive, peaceful",409,7,3.60,
101,Mournful Congregation,The Incubus of Karma,23 March 2018,Funeral Doom Metal,Death Doom Metal,"melancholic, depressive, funereal, atmospheric, male vocals, heavy, dark, occult",564,4,3.58,1rhwYeJDiaANxQI164meX6
102,Marianne Faithfull,Negative Capability,2 November 2018,"Singer-Songwriter, Chamber Folk",Chamber Pop,"melancholic, lonely, sentimental, female vocals",378,5,3.58,499WhswdiHAwE2uBcOcTUh
103,Greyhaven,Empty Black,16 March 2018,"Metalcore, Post-Hardcore","Mathcore, Alternative Metal, Progressive Metal","male vocals, energetic, aggressive",350,4,3.59,3NaEBlNnmdAbYpAA3Ehnlj
104,Slugdge,Esoteric Malacology,2 March 2018,"Death Metal, Progressive Metal",Technical Death Metal,"progressive, technical, heavy, aggressive, male vocals, science fiction, uncommon time signatures, energetic","1,523",14,3.56,06C9Fc6T2I45U93R4BctNO
105,Riverside,Wasteland,28 September 2018,Progressive Rock,"Progressive Metal, Art Rock","male vocals, apocalyptic, sentimental, melancholic, atmospheric, melodic, concept album, sombre","1,124",17,3.57,2x2TYXmboFBDvZnSPK15B2
106,Jyocho,美しい終末サイクル,5 December 2018,Math Rock,"Post-Rock, Midwest Emo","melodic, female vocals, uncommon time signatures, complex, technical, soft, lush, pastoral","1,055",8,3.57,7mRW1P9lDdXC47czngKQ2F
107,A Forest of Stars,Grave Mounds and Grave Mistakes,28 September 2018,"Avant-Garde Metal, Atmospheric Black Metal","Progressive Metal, Folk Metal","melodic, epic, male vocals, heavy, dark, female vocals, abstract, melancholic",534,11,3.58,3fAe9GN7gFxop0YTEl6Ooo
108,Messa,Feast for Water,6 April 2018,Doom Metal,"Dark Jazz, Traditional Doom Metal","dark, melancholic, concept album, atmospheric, female vocals, ominous, occult, sombre","1,069",15,3.58,7xLqM5cY5WwLHV0GZ6OKkF
109,Koenji Hyakkei,Dhorimviskha,27 June 2018,Zeuhl,"Jazz Fusion, Brutal Prog","complex, female vocals, technical, energetic, uncommon time signatures, dense, playful, manic","1,488",14,3.55,2EVDMqKBJxN0Gyvkegpp3h
