position,artist,album,release_date,primary_genres,secondary_genres,descriptors,number_ratings,number_reviews,avg_rating,id_spotify
1,Car Seat Headrest,Twin Fantasy,16 February 2018,Indie Rock,"Singer-Songwriter, Power Pop","LGBT, passionate, introspective, sentimental, love, concept album, male vocals, lonely","21,295",273,3.91,20U1UWeGcGq7JVW0tf8yfH
2,Kids See Ghosts,KIDS SEE GHOSTS,8 June 2018,"Pop Rap, Experimental Hip Hop","Art Pop, Neo-Psychedelia, Alternative R&B","spiritual, male vocals, psychedelic, uplifting, introspective, sampling, passionate, eclectic","33,860",237,3.86,6pwuKxMUkNg673KETsXPUV
3,Daughters,You Won't Get What You Want,26 October 2018,"Noise Rock, Industrial Rock","No Wave, Art Punk, Post-Hardcore, Post-Punk","noisy, anxious, dark, dissonant, male vocals, manic, heavy, nihilistic","21,926",223,3.87,21wg2jYkGO5RcnU2CV2a2s
4,Earl Sweatshirt,Some Rap Songs,30 November 2018,"Abstract Hip Hop, Experimental Hip Hop","Jazz Rap, Glitch Hop, Drumless","lo-fi, introspective, sampling, abstract, death, male vocals, deadpan, lethargic","24,154",201,3.86,66at85wgO2pu5CccvqUF6i
5,Frank Ocean,Endless,9 April 2018,"Alternative R&B, Ambient Pop, Art Pop","Neo-Soul, Experimental Hip Hop, Electronic","atmospheric, ethereal, male vocals, mellow, melancholic, LGBT, love, bittersweet","10,254",41,3.87,
6,Mid-Air Thief 공중도둑,무너지기 (Crumbling),31 July 2018,"Neo-Psychedelia, Folktronica, Psychedelic Pop","Psychedelic Folk, Dream Pop, Progressive Pop","lush, psychedelic, dense, warm, ethereal, soft, male vocals, female vocals","12,181",106,3.86,0c5K7NXuSSZNCpdMPMfeWZ
7,Pusha T,DAYTONA,25 May 2018,"Hardcore Hip Hop, Southern Hip Hop",Gangsta Rap,"drugs, crime, sampling, boastful, male vocals, aggressive, urban, violence","21,627",138,3.79,07bIdDDe3I3hhWpxU6tuBp
8,JPEGMAFIA,Veteran,19 January 2018,"Experimental Hip Hop, Glitch Hop, Industrial Hip Hop","Political Hip Hop, Trap, Cloud Rap, Hardcore Hip Hop","aggressive, political, sampling, sarcastic, manic, male vocals, boastful, violence","22,009",127,3.75,51WLEfPEEkzAWurvuY6Gco
9,Denzel Curry,TA13OO,27 July 2018,"Southern Hip Hop, Trap","Conscious Hip Hop, Hardcore Hip Hop, Pop Rap, Trap Metal","dark, male vocals, energetic, aggressive, conscious, urban, boastful, violence","20,760",114,3.75,6idVoBWP2mt1qoMtASm3gc
10,SOPHIE,OIL OF EVERY PEARL'S UN-INSIDES,15 June 2018,"Bubblegum Bass, Deconstructed Club","Art Pop, Wonky, Glitch Pop, Ambient, Ambient Pop","LGBT, female vocals, futuristic, mechanical, noisy, surreal, chaotic, dense","18,148",153,3.75,6ukR0pBrFXIXdQgLWAhK7J
