position,artist,album,release_date,primary_genres,secondary_genres,descriptors,number_ratings,number_reviews,avg_rating,id_spotify
1,Kendrick Lamar,To Pimp a Butterfly,15 March 2015,"Conscious Hip Hop, West Coast Hip Hop, Jazz Rap","Political Hip Hop, Neo-Soul, Funk, Poetry","political, conscious, concept album, poetic, protest, introspective, urban, male vocals","52,269",446,4.31,7ycBtnsMtyVbbwTfJwRjSP
2,Sufjan Stevens,Carrie & Lowell,31 March 2015,"Indie Folk, Singer-Songwriter","Chamber Folk, Ambient Pop","death, melancholic, sad, acoustic, poetic, peaceful, soft, male vocals","24,409",229,4.06,0U8DeqqKDgIhIiWOdqiQXE
3,Death Grips,Jenny Death: The Powers That B Disc 2,19 March 2015,"Experimental Hip Hop, Industrial Hip Hop, Noise Rock","Synth Punk, Hardcore Hip Hop, Experimental Rock, Digital Hardcore, Rap Rock","noisy, aggressive, abstract, manic, male vocals, cryptic, raw, misanthropic","12,833",38,3.95,5Y04ylQjDWsawOUJXzY4YO
4,Joanna Newsom,Divers,23 October 2015,"Chamber Folk, Singer-Songwriter","Progressive Folk, Baroque Pop","poetic, history, pastoral, female vocals, lush, passionate, bittersweet, complex","7,071",77,3.87,
5,Carly Rae Jepsen,E·MO·TION,24 June 2015,"Dance-Pop, Synthpop","Electropop, Sophisti-Pop","energetic, happy, romantic, love, female vocals, melodic, uplifting, optimistic","15,512",176,3.79,6UjZgFbK6CQptu8aOobzPV
6,Travis Scott,Rodeo,4 September 2015,"Trap, Southern Hip Hop","Experimental Hip Hop, Pop Rap, Alternative R&B, Cloud Rap, Neo-Psychedelia","drugs, nocturnal, party, atmospheric, hedonistic, sexual, hypnotic, male vocals","18,800",110,3.78,4PWBTB6NYSKQwfo79I3prg
7,Lil Ugly Mane,Third Side of Tape,29 April 2015,"Experimental Hip Hop, Instrumental Hip Hop","Noise, Industrial Hip Hop, Memphis Rap, Plunderphonics, Minimal Wave","eclectic, surreal, hypnotic, lo-fi, raw, anxious, rhythmic, atmospheric","5,557",53,3.83,1XMyyqQS6OwcVHoduhpkdb
8,Mgła,Exercises in Futility,4 September 2015,Black Metal,Melodic Black Metal,"misanthropic, nihilistic, male vocals, pessimistic, dark, ominous, atmospheric, melodic","6,143",41,3.81,453zAaME9iOeCQ5B7SfkDM
9,Julia Holter,Have You in My Wilderness,25 September 2015,"Art Pop, Chamber Pop","Ambient Pop, Dream Pop, Baroque Pop","ethereal, lush, poetic, atmospheric, female vocals, mellow, melancholic, longing","9,743",85,3.79,0EiGGBzF9wzJn2X8F0Yvjh
10,SOPHIE,Product,26 November 2015,Bubblegum Bass,"Wonky, Deconstructed Club, Electropop, UK Bass","playful, energetic, futuristic, quirky, female vocals, happy, mechanical, surreal","5,961",41,3.80,4tDBsfbHRJ9OdcMO9bmnai
11,Elza,A mulher do fim do mundo,1 October 2015,"Vanguarda paulista, Art Rock, Samba","Samba-rock, Post-Punk","passionate, poetic, urban, conscious, female vocals, dark, melancholic, rhythmic","2,135",16,3.81,6pmPFWW4M6YDDDuFeUppDG
