position,artist,album,release_date,primary_genres,secondary_genres,descriptors,number_ratings,number_reviews,avg_rating,id_spotify
1,Danny Brown,Atrocity Exhibition,30 September 2016,"Experimental Hip Hop, Hardcore Hip Hop","Abstract Hip Hop, Industrial Hip Hop, Post-Punk","drugs, dark, manic, abstract, male vocals, psychedelic, chaotic, sexual","28,996",201,4.10,3e7vtKJ3m1zVh38VGq2g3H
2,Frank Ocean,Blonde,20 August 2016,"Alternative R&B, Art Pop, Neo-Soul","Ambient Pop, Singer-Songwriter, Alt-Pop","introspective, LGBT, bittersweet, mellow, sexual, atmospheric, drugs, sensual","35,125",326,4.06,3mH6qwIy9crq0I9YQbOuDf
3,David Bowie,★ [Blackstar],8 January 2016,Art Rock,"Jazz-Rock, Experimental Rock, Electronic","death, dark, introspective, poetic, male vocals, melancholic, concept album, funereal","28,089",311,4.08,2w1YJXWMIco6EBf0CovvVN
4,A Tribe Called Quest,We got it from Here… Thank You 4 Your service,11 November 2016,"Conscious Hip Hop, East Coast Hip Hop, Jazz Rap","Political Hip Hop, Boom Bap, Neo-Psychedelia","political, conscious, bittersweet, sampling, urban, male vocals, rhythmic, mellow","14,973",105,4.00,3WvQpufOsPzkZvcSuynCf3
5,Radiohead,A Moon Shaped Pool,8 May 2016,"Art Pop, Art Rock, Chamber Pop","Ambient Pop, Electronic","atmospheric, melancholic, sombre, introspective, lush, mellow, male vocals, mysterious","32,741",288,3.91,2ix8vWvvSp2Yo7rKMiWpkg
6,Death Grips,Bottomless Pit,6 May 2016,"Industrial Hip Hop, Abstract Hip Hop, Experimental Hip Hop","Digital Hardcore, Noise Rock, Glitch Hop, Electro-Industrial, Synth Punk","aggressive, chaotic, noisy, manic, energetic, vulgar, male vocals, cryptic","23,469",113,3.86,4dIPUQHheyH9e6ioplvNT2
7,Car Seat Headrest,Teens of Denial,20 May 2016,Indie Rock,"Power Pop, Garage Rock Revival, Art Rock","anxious, bittersweet, energetic, drugs, existential, male vocals, passionate, raw","16,218",112,3.84,26DseQO366JfXwIP7dIgQj
8,King Gizzard and The Lizard Wizard,Nonagon Infinity,29 April 2016,"Psychedelic Rock, Garage Rock","Heavy Psych, Krautrock, Garage Punk","repetitive, energetic, psychedelic, science fiction, uncommon time signatures, male vocals, occult, concept album","14,450",99,3.84,2SVSLmPgIn3kQ5inNYZ76a
9,Kanye West,The Life of Pablo,14 February 2016,"Pop Rap, Hip Hop","Contemporary R&B, Trap, Experimental Hip Hop, Art Pop","boastful, religious, vulgar, sexual, sampling, manic, eclectic, passionate","37,988",308,3.75,7gsWAHLeT0w7es6FofOXk1
10,Swans,The Glowing Man,17 June 2016,"Post-Rock, Experimental Rock","Noise Rock, Drone, Neofolk, Ambient, Totalism","atmospheric, repetitive, hypnotic, epic, dense, ominous, ritualistic, spiritual","10,910",97,3.84,30FjZ3FGnMz4ita5zhqgkl
11,Jeff Rosenstock,WORRY.,14 October 2016,"Power Pop, Pop Punk, Indie Rock","Singer-Songwriter, Punk Rock","energetic, melodic, anxious, alcohol, love, introspective, political, male vocals","9,676",69,3.85,18doqXfbCTpyz1PeO3d4eB
12,Nick Cave & The Bad Seeds,Skeleton Tree,9 September 2016,"Singer-Songwriter, Art Rock","Ambient, Spoken Word, Drone, Ambient Pop","death, introspective, dark, melancholic, atmospheric, sombre, male vocals, poetic","9,862",94,3.83,34xaLN7rDecGEK5UGIVbeJ
13,Bruno Pernadas,Those Who Throw Objects at the Crocodiles Will Be Asked to Retrieve Them,23 September 2016,"Progressive Pop, Art Pop, Jazz Pop","Space Age Pop, Lounge, Neo-Psychedelia, Exotica","female vocals, warm, psychedelic, repetitive, male vocals, eclectic, mellow, peaceful","4,212",31,3.86,2NYnAb4TkXGHrY8wZ9uZwT
14,Vektor,Terminal Redux,6 May 2016,Technical Thrash Metal,"Progressive Metal, Black Metal","science fiction, technical, complex, futuristic, space, concept album, epic, male vocals","5,561",86,3.81,56ZRTTv25E2OO7FLuLokkX
15,Mach-Hommy,HBO (Haitian Body Odor),17 August 2016,"East Coast Hip Hop, Abstract Hip Hop, Boom Bap","Conscious Hip Hop, Jazz Rap, Gangsta Rap, Drumless, Hardcore Hip Hop","abstract, conscious, lo-fi, eclectic, technical, urban, introspective, male vocals","1,493",10,3.82,5Vjzn7X9s2Q2viKvZKyRJd
16,Xiu Xiu,Plays the Music of Twin Peaks,16 April 2016,Experimental Rock,"Dark Ambient, Drone, Noise Rock, Dark Jazz, Art Rock","dark, ominous, atmospheric, suspenseful, noisy, surreal, mysterious, sombre","6,974",33,3.76,29TgshU7lM3TJfrEgcadlH
17,Hailu Mergia & Dahlak Band,Wede Harer Guzo,17 June 2016,Ethio-Jazz,"Jazz-Funk, Tizita","warm, peaceful, calm, summer, lo-fi, happy, uplifting, playful","1,119",7,3.78,6am5o1eJClWkXeh0Ex9HuL
18,Blood Incantation,Starspawn,19 August 2016,Death Metal,"Technical Death Metal, Progressive Metal, Death Doom Metal","atmospheric, heavy, science fiction, technical, male vocals, aggressive, dense, complex","3,231",33,3.75,75nL1UjHpFVOaaJfhXl3ZX
19,Coin locker kid,The Salmon of Doubt,22 June 2016,"Neo-Psychedelia, Experimental Hip Hop, Experimental","Tape Music, Spoken Word, Abstract Hip Hop, Sound Collage, Singer-Songwriter","avant-garde, abstract, eclectic, sampling, psychedelic, poetic, noisy, sombre",736,8,3.74,
20,Kendrick Lamar,Untitled Unmastered.,4 March 2016,"Jazz Rap, Conscious Hip Hop, West Coast Hip Hop","Neo-Soul, Experimental Hip Hop, Funk","political, anxious, passionate, conscious, male vocals, eclectic, urban, nocturnal","22,576",100,3.66,0kL3TYRsSXnu0iJvFO3rud
21,Insomnium,Winter's Gate,23 September 2016,Melodic Death Metal,Progressive Metal,"concept album, epic, melancholic, suite, folklore, male vocals, progressive, fantasy","2,144",23,3.73,1lCmbNOMbDw1QeFzWGWLbR
22,BK,Castelos & ruínas,21 March 2016,Conscious Hip Hop,"Boom Bap, Cloud Rap, Experimental Hip Hop, Trap, Jazz Rap","sampling, male vocals, conscious, urban, rhythmic, introspective, nocturnal, serious",578,1,3.75,5BCxlla9sHRzzP302BOMH0
23,虚拟梦想广场,无限渴望,21 February 2016,"Ambient, Vaporwave, Dreampunk",Drone,"soothing, repetitive, soft, calm, atmospheric, sampling, peaceful, instrumental",368,4,3.75,
24,Cult of Luna and Julie Christmas,Mariner,8 April 2016,Atmospheric Sludge Metal,,"atmospheric, heavy, dark, space, female vocals, concept album, male vocals, science fiction","2,811",29,3.71,7Gys3aNZTqk5o0bXqcMZwv
25,Denzel Curry,Imperial,9 March 2016,"Southern Hip Hop, Trap","Cloud Rap, Conscious Hip Hop, Hardcore Hip Hop","angry, political, aggressive, crime, drugs, urban, rebellious, passionate","12,810",49,3.67,42fyKPanos0Q3woi848ktg
26,Keith Rowe,The Room Extended,7 December 2016,EAI,"Sound Collage, Reductionism","avant-garde, sparse, noisy, improvisation, sampling, ominous, sombre, lonely",409,5,3.71,
27,Anderson .Paak,Malibu,15 January 2016,Neo-Soul,"Psychedelic Soul, West Coast Hip Hop, Funk","warm, sexual, summer, mellow, melodic, male vocals, playful, lush","10,489",62,3.68,4VFG1DOuTeDMBjBLZT7hCK
28,Aesop Rock,The Impossible Kid,29 April 2016,"Abstract Hip Hop, East Coast Hip Hop","Conscious Hip Hop, Boom Bap","cryptic, complex, conscious, poetic, abstract, male vocals, introspective, rhythmic","6,620",64,3.69,5LZS2qqiqBRiEtN6kFstrJ
29,Autechre,elseq 4,19 May 2016,IDM,"Ambient, Glitch","instrumental, atmospheric, mechanical, manic, surreal, rhythmic, cold, uncommon time signatures","1,146",4,3.72,1emQ52KeGmHHG608r1eWAj
30,Westside Gunn,Flygod,11 March 2016,"East Coast Hip Hop, Hardcore Hip Hop","Gangsta Rap, Boom Bap, Drumless, Chipmunk Soul","sampling, rhythmic, urban, dark, violence, serious, crime, nocturnal","1,908",10,3.71,6ZOa1wCHW2fZlsIYh8Yyw4
31,Leonard Cohen,You Want It Darker,21 October 2016,"Singer-Songwriter, Chamber Folk","Contemporary Folk, Spoken Word","death, male vocals, poetic, dark, sombre, introspective, love, existential","4,893",50,3.70,3jeTB3j3QmUs8SPIVleHtU
32,pilotredsun,Achievement,29 March 2016,"IDM, Sequencer & Tracker","Downtempo, Chiptune","playful, instrumental, mellow, psychedelic, quirky, surreal, melodic, rhythmic","2,280",25,3.71,
33,Oranssi Pazuzu,Värähtelijä,26 February 2016,"Psychedelic Rock, Black Metal","Atmospheric Black Metal, Space Rock, Avant-Garde Metal","hypnotic, dark, ominous, atmospheric, psychedelic, space, eclectic, male vocals","3,688",49,3.69,68ahiHoFwy2gf0I1LW7Z14
34,Furia,Księżyc milczy luty,14 November 2016,"Black Metal, Post-Metal, Experimental Rock","Doom Metal, Post-Rock","dark, melancholic, heavy, nocturnal, surreal, atmospheric, dense, aggressive","2,119",19,3.70,4aG6DiV4uEySpfk9I0xRE2
35,Ichiko Aoba 青葉市子,マホロボシヤ (Mahoroboshiya),19 October 2016,"Contemporary Folk, Singer-Songwriter",,"soothing, female vocals, mellow, melancholic, acoustic, melodic, soft, ballad","1,822",4,3.71,0UtJv0rHwQpBDFu2HAeLwd
