position,artist,album,release_date,primary_genres,secondary_genres,descriptors,number_ratings,number_reviews,avg_rating,id_spotify
1,Little Simz,Sometimes I Might Be Introvert,3 September 2021,"Conscious Hip Hop, UK Hip Hop","Neo-Soul, Jazz Rap, Orchestral","lush, orchestral, introspective, female vocals, conscious, eclectic, uplifting, triumphant","15,637",147,3.94,0DBoWQ52XUHtrZQdfAqOVj
2,JPEGMAFIA,LP!,22 October 2021,"Experimental Hip Hop, Hardcore Hip Hop","Cloud Rap, Alternative R&B, Glitch Hop","eclectic, psychedelic, sampling, dense, male vocals, rebellious, boastful, rhythmic","14,147",106,3.90,4inXqcdjG79gV4m2mU8dQh
3,Injury Reserve,By the Time I Get to Phoenix,15 September 2021,"Experimental Hip Hop, Glitch Hop, Experimental","Abstract Hip Hop, Glitch, Experimental Rock, Sound Collage, Industrial Hip Hop","avant-garde, surreal, death, sampling, dissonant, dense, chaotic, dark","15,020",238,3.84,7L7oMPboBCeyGLJVsHSWM2
4,"Floating Points, Pharoah Sanders & The London Symphony Orchestra",Promises,26 March 2021,"Post-Minimalism, Third Stream","Progressive Electronic, Minimalism, Spiritual Jazz, Ambient","instrumental, minimalistic, meditative, repetitive, atmospheric, soothing, hypnotic, mysterious","12,714",110,3.82,3ShtO5VCYa3ctlR5uzLWBa
5,black midi,Cavalcade,26 May 2021,Avant-Prog,"Jazz-Rock, Brutal Prog, Math Rock, Art Rock, Noise Rock","complex, chaotic, avant-garde, technical, male vocals, dense, eclectic, suspenseful","18,293",219,3.79,7AsC27VDa3yOksZrfBSD6D
6,Lil Ugly Mane,Volcanic Bird Enemy and the Voiced Concern,12 October 2021,"Neo-Psychedelia, Hypnagogic Pop","Trip Hop, Dream Pop, Indie Pop, Plunderphonics, Hypnagogic Pop","depressive, surreal, psychedelic, sampling, bittersweet, male vocals, introspective, lethargic","9,821",95,3.82,4osMxywkQeNeGDzExEmAfB
7,Lingua Ignota,Sinner Get Ready,6 August 2021,"Neoclassical Darkwave, Avant-Folk","Chamber Music, Christian Liturgical Music, Appalachian Folk Music, Drone, Singer-Songwriter","sombre, female vocals, Christian, ominous, funereal, disturbing, dissonant, death","10,251",123,3.78,06wtf2TCkmyTgS1yZGiSr5
8,Magdalena Bay,Mercurial World,8 October 2021,Synthpop,"Electropop, Dance-Pop, Contemporary R&B, Chillwave, House","lush, female vocals, playful, melodic, ethereal, rhythmic, sentimental, bittersweet","10,609",96,3.79,1ERrUvG31thFCxdwWUoJrY
9,"Black Country, New Road",For the First Time,5 February 2021,"Post-Rock, Experimental Rock, Post-Punk","Klezmer, Art Punk, Art Rock","anxious, manic, suspenseful, male vocals, monologue, progressive, complex, introspective","21,438",287,3.73,2PfgptDcfJTFtoZIS3AukX
10,"Tyler, the Creator",Call Me If You Get Lost,25 June 2021,West Coast Hip Hop,"Jazz Rap, Neo-Soul, Hardcore Hip Hop, Synth Funk","male vocals, boastful, hedonistic, sampling, warm, lush, rhythmic, summer","22,726",214,3.72,45ba6QAtNrdv6Ke4MFOKk9
11,Sufjan Stevens & Angelo De Augustine,A Beginner's Mind,24 September 2021,Indie Folk,"Chamber Folk, Singer-Songwriter, Chamber Pop","ethereal, male vocals, soft, concept album, atmospheric, mellow, love, poetic","7,077",50,3.77,7AS9VaIdnYSR13T3vkVtu9
12,Genesis Owusu,Smiling With No Teeth,5 March 2021,Neo-Soul,"Conscious Hip Hop, Funk, Post-Punk, Alternative R&B, Experimental Hip Hop","eclectic, male vocals, conscious, rhythmic, energetic, playful, introspective, political","9,177",76,3.74,7LI6T5cy6Et8RDZXCoCEtJ
13,Parannoul 파란노을,To See the Next Part of the Dream,23 February 2021,"Shoegaze, Emo","Noise Pop, Post-Rock, Post-Hardcore, Indie Rock","melancholic, noisy, raw, introspective, male vocals, self-hatred, alienation, atmospheric","13,367",144,3.71,0sLt9EsWnVZgJAO5Sp35YQ
14,Ill Considered,Liminal Space,12 November 2021,Avant-Garde Jazz,"Jazz Fusion, Spiritual Jazz, Post-Bop, Chamber Jazz, Free Improvisation","instrumental, dense, atmospheric, improvisation, avant-garde, rhythmic, tribal, passionate","1,664",13,3.77,3i62521pVAxy4LG7dQOSYQ
15,Silk Sonic,An Evening With Silk Sonic,12 November 2021,Smooth Soul,"Funk, Philly Soul, Pop Soul","lush, sensual, love, hedonistic, sexual, playful, male vocals, uplifting","13,099",163,3.70,0S0r2RFucaW9kVjBtcBOV1
16,Ethereal Shroud,Trisagion,10 December 2021,Atmospheric Black Metal,"Symphonic Black Metal, Doom Metal","atmospheric, melancholic, male vocals, introspective, melodic, dense, epic, serious","2,108",18,3.73,2Klvx4JvgcgXLaxnf734p5
17,Kaatayra,Inpariquipê,26 November 2021,"Avant-Folk, Folk Metal, Avant-Garde Metal","Post-Minimalism, Atmospheric Black Metal, Brazilian Folk Music","atmospheric, nature, male vocals, tribal, warm, avant-garde, forest, acoustic","1,610",16,3.74,2XXpvZm5VP3LbpG7bH7yAm
18,Jaja00,BlackBolshevik,17 April 2021,"Political Hip Hop, Hardcore Hip Hop, Experimental Hip Hop","Glitch Hop, Trap, Drill, Hyphy, Industrial Hip Hop","rebellious, angry, political, energetic, sampling, violence, playful, protest","1,269",9,3.72,5IZWjMcN2qeNGqoTdMOQ5n
19,death's dynamic shroud.wmv,Faith in Persona,1 November 2021,"Glitch Pop, Vaporwave","Dance-Pop, Utopian Virtual, Plunderphonics","sampling, female vocals, dense, surreal, bittersweet, lush, atmospheric, abstract","4,144",27,3.70,1HBuWe94Z8qMTj2IvgfO4B
20,Low,HEY WHAT,10 September 2021,"Post-Industrial, Ambient Pop, Experimental Rock","Noise, Electroacoustic, Glitch Pop, Drone, Ambient","noisy, avant-garde, abstract, spiritual, atmospheric, male vocals, female vocals, heavy","7,270",81,3.68,6S6jg2LuEwGdo9iYMSwCBS
21,SPELLLING,The Turning Wheel,25 June 2021,"Art Pop, Baroque Pop","Progressive Pop, Psychedelic Soul, Neo-Psychedelia, Darkwave","fantasy, lush, triumphant, ethereal, surreal, female vocals, melodic, psychedelic","10,030",115,3.66,0vzzI81Sz2JAr4dVo8rrIj
22,Squid,Bright Green Field,7 May 2021,"Art Punk, Post-Punk, Experimental Rock","Dance-Punk, Krautrock, Post-Rock","manic, male vocals, anxious, quirky, abstract, energetic, rhythmic, complex","12,812",151,3.65,4z44Wir05QzQYSCs0KwsKX
23,STOMACH BOOK,STOMACH BOOK,8 October 2021,"Experimental Rock, Noise Pop, Emo","Dark Cabaret, Indietronica, Indie Rock, Sasscore, Post-Hardcore","dense, LGBT, lo-fi, raw, noisy, self-hatred, female vocals, anxious",849,2,3.71,3Cwws2uxeCbKPN1LBk0wrj
24,Japanese Breakfast,Jubilee,4 June 2021,"Indie Pop, Chamber Pop","Synthpop, Indie Rock, Dream Pop","lush, warm, love, melodic, female vocals, optimistic, sentimental, bittersweet","10,247",96,3.66,0ajoNtBO6xHfWEkORtRCAv
25,Arca,KicK iii,1 December 2021,"Deconstructed Club, Glitch Hop, Experimental Hip Hop","Industrial Hip Hop, IDM, Latin Electronic","chaotic, futuristic, manic, avant-garde, LGBT, noisy, sexual, androgynous vocals","5,334",39,3.66,1paea7BPqUpZksvNkQ2cqQ
26,leroy,"Dariacore 2: Enter Here, Hell to the Left",8 September 2021,"Future Bass, Mashcore, Electronic Dance Music","Nightcore, Philly Club, Kawaii Future Bass, Jersey Club, Hyperpop","sampling, playful, eclectic, party, quirky, energetic, manic, dense","1,075",7,3.65,05taR5YI65QdKEU1iUaX0M
27,Nas,Magic,24 December 2021,"East Coast Hip Hop, Boom Bap","Conscious Hip Hop, Chipmunk Soul","male vocals, sampling, conscious, violence, urban, poetic, introspective, serious","3,413",43,3.67,1tiCHRx9AI11hfcLmkGEXT
28,Parannoul 파란노을 / Asian Glow / sonhos tomam conta,Downfall of the Neon Youth,22 October 2021,"Shoegaze, Emo, Noise Pop","Post-Rock, Blackgaze, Post-Hardcore, Lo-Fi / Slacker Rock, Indietronica","noisy, depressive, sentimental, ethereal, male vocals, lush, alienation, melancholic","4,249",26,3.65,2WLbdzqsWzXYPb6rQHTkjX
29,Godspeed You! Black Emperor,G_d's Pee AT STATE'S END!,2 April 2021,Post-Rock,"Chamber Music, Drone, Field Recordings","instrumental, epic, atmospheric, apocalyptic, dark, triumphant, hypnotic, anarchism","11,161",109,3.61,1RDLG5wi0a2Lrgdxs32tKL
30,Ad Nauseam,Imperative Imperceptible Impulse,12 February 2021,"Avant-Garde Metal, Technical Death Metal, Dissonant Death Metal",Progressive Metal,"uncommon time signatures, technical, dissonant, complex, heavy, aggressive, avant-garde, male vocals","2,701",33,3.64,6s6lKMJgAqsWqXBeFcw7ov
31,Julius Eastman / Wild Up,Julius Eastman Vol. 1: Femenine,18 June 2021,"Minimalism, Chamber Music",Post-Minimalism,"repetitive, hypnotic, lush, warm, instrumental, dense, atmospheric, acoustic","1,349",8,3.65,1ld3DxwlntRQIplsQci5x2
32,DJ Sabrina the Teenage DJ,The Makin' Magick II Album,26 November 2021,Outsider House,"French House, Future Funk, Plunderphonics, Dance-Pop, Funky House","party, longing, lush, bittersweet, sentimental, sampling, rhythmic, repetitive","1,174",4,3.64,3PtfffF6dPdqxHbiwmo0ux
33,Jaubi,Nafs at Peace,28 May 2021,"Spiritual Jazz, Jazz Fusion","Hindustani Classical Music, Chamber Jazz","instrumental, atmospheric, improvisation, meditative, passionate, hypnotic, spiritual, uplifting","2,140",9,3.65,66BTtua97CK7aZmjyScoYf
34,Effluence,Psychocephalic Spawning,13 December 2021,"Brutal Death Metal, Avant-Garde Metal, Technical Death Metal","Free Improvisation, Gorenoise","chaotic, uncommon time signatures, technical, avant-garde, surreal, aggressive, dissonant, manic",605,13,3.62,
35,Skee Mask,Pool,7 May 2021,"IDM, Techno, Breakbeat","Atmospheric Drum and Bass, Ambient Dub, Ambient Techno, Ambient","hypnotic, atmospheric, instrumental, rhythmic, repetitive, futuristic, mechanical, complex","2,682",13,3.64,
36,Panopticon,...and Again Into the Light,15 May 2021,Atmospheric Black Metal,"Post-Metal, Americana, Post-Rock","male vocals, atmospheric, melancholic, heavy, triumphant, lush, bittersweet, pastoral","2,872",24,3.63,4QcHeJduU3DIvnSSkGNqHf
37,Westside Gunn,Hitler Wears Hermes 8: Side B,24 September 2021,"East Coast Hip Hop, Gangsta Rap, Boom Bap","Jazz Rap, Drumless","violence, sampling, crime, drugs, boastful, urban, male vocals, raw","2,916",24,3.63,0KtFP56RU7bd32pcvdeWOU
38,McKinley Dixon,For My Mama and Anyone Who Look Like Her,7 May 2021,"Jazz Rap, Southern Hip Hop, Conscious Hip Hop",Neo-Soul,"male vocals, conscious, existential, lush, urban, rhythmic, poetic, melodic","1,927",21,3.63,0lSaPO2OKn5eeUCiEcbumJ
39,Turnstile,Glow On,27 August 2021,"Post-Hardcore, Alternative Rock","Alternative Metal, Hardcore Punk, Dream Pop","melodic, energetic, male vocals, passionate, uplifting, aggressive, rhythmic, eclectic","7,214",55,3.60,2NrYPcMmQBlbBxopc2XlzS
