position,artist,album,release_date,primary_genres,secondary_genres,descriptors,number_ratings,number_reviews,avg_rating,id_spotify
1,Kendrick Lamar,"good kid, m.A.A.d city",22 October 2012,"West Coast Hip Hop, Conscious Hip Hop","Hardcore Hip Hop, Pop Rap, Trap","urban, crime, concept album, conscious, introspective, male vocals, passionate, Christian","45,474",334,4.23,0Oq3mWfexhsjUh0aNNBB5u
2,Death Grips,The Money Store,24 April 2012,"Industrial Hip Hop, Hardcore Hip Hop, Experimental Hip Hop","Glitch Hop, Abstract Hip Hop","aggressive, manic, energetic, angry, noisy, nihilistic, drugs, raw","41,689",347,4.05,1PQDjdBpHPikAodJqjzm6a
3,Swans,The Seer,28 August 2012,"Experimental Rock, Post-Rock","Drone, Noise Rock, Neofolk, Totalism","apocalyptic, repetitive, ominous, epic, mysterious, dark, atmospheric, ritualistic","17,879",263,3.94,5hXTuGzaOREp5WHYGQXXB1
4,Lil Ugly Mane,Mista Thug Isolation,11 February 2012,"Memphis Rap, Southern Hip Hop","Horrorcore, Chopped and Screwed, Gangsta Rap, Jazz Rap, Experimental Hip Hop","drugs, vulgar, misanthropic, crime, dark, humorous, sexual, boastful","13,202",72,3.89,6VNXIYzXocTyZMNDLG88Gb
5,Frank Ocean,channel ORANGE,10 July 2012,"Alternative R&B, Contemporary R&B","Neo-Soul, Psychedelic Soul","romantic, summer, warm, lonely, sexual, LGBT, bittersweet, introspective","27,751",194,3.81,392p3shh2jkxUxY2VHvlH8
6,Fiona Apple,The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do,19 June 2012,"Singer-Songwriter, Art Pop","Jazz Pop, Piano Rock, Dark Cabaret","introspective, female vocals, poetic, breakup, melodic, anxious, sparse, bittersweet","11,670",156,3.86,6B5favhKTShFTjRLsKIUfa
7,Beach House,Bloom,15 May 2012,"Dream Pop, Indie Pop",Ethereal Wave,"ethereal, mellow, female vocals, atmospheric, melodic, soothing, warm, lush","20,391",235,3.81,1UYkwtjbjdLlHc4bdnkvdO
8,Converge,All We Love We Leave Behind,9 October 2012,Metalcore,"Post-Hardcore, Mathcore, Hardcore Punk","angry, aggressive, passionate, heavy, energetic, male vocals, complex, technical","6,640",76,3.81,09q94StUdNXvtcwXRqLOjp
9,Deftones,Koi no yokan,13 November 2012,Alternative Metal,"Alternative Rock, Shoegaze, Dream Pop, Post-Metal","atmospheric, love, ethereal, male vocals, melancholic, anxious, romantic, heavy","8,185",92,3.81,4PIVdqvL1Rc7T7Vfsr8n8Q
10,The Rockwood Escape Plan,Dreamcast Summer Songs,27 February 2012,"Instrumental Hip Hop, Plunderphonics","Experimental Hip Hop, Vaporwave, Jazz Rap, Video Game Music, Trip Hop","mellow, atmospheric, sampling, summer, instrumental, ethereal, rhythmic, nocturnal","1,257",8,3.82,
