position,artist,album,release_date,primary_genres,secondary_genres,descriptors,number_ratings,number_reviews,avg_rating,id_spotify
11,Mach-Hommy,Dumpmeister,2 September 2017,"East Coast Hip Hop, Abstract Hip Hop, Hardcore Hip Hop","Jazz Rap, Drumless, Experimental Hip Hop, Boom Bap","crime, abstract, boastful, sampling, violence, nocturnal, raw, surreal",580,5,3.81,
12,Lorde,Melodrama,16 June 2017,"Synthpop, Alt-Pop","Electropop, Dance-Pop, Alternative R&B","female vocals, introspective, breakup, nocturnal, bittersweet, passionate, melodic, lonely","16,830",159,3.70,2B87zXm9bOWvAJdkJBTpzF
13,Sidney Gish,No Dogs Allowed,31 December 2017,"Twee Pop, Bedroom Pop, Singer-Songwriter",Indie Folk,"female vocals, quirky, introspective, humorous, melodic, sarcastic, summer, self-hatred","1,992",13,3.75,3jgktTCGathax8HKW4aGfg
14,Mach-Hommy,Dump Gawd: Hommy Edition,7 June 2017,"Drumless, East Coast Hip Hop, Abstract Hip Hop",,"lo-fi, crime, raw, sampling, dark, abstract, violence, urban",499,5,3.77,
15,Converge,The Dusk in Us,3 November 2017,Metalcore,"Post-Hardcore, Mathcore, Sludge Metal","heavy, dark, introspective, passionate, male vocals, raw, aggressive, energetic","5,102",42,3.73,23cl7dningjCbwiNpOyFMP
16,King Gizzard & The Lizard Wizard,Flying Microtonal Banana,24 February 2017,"Psychedelic Rock, Garage Rock","Anatolian Rock, Acid Rock, Krautrock","microtonal, psychedelic, hypnotic, desert, rhythmic, male vocals, warm, repetitive","11,651",65,3.70,7GfvEqRTI6YgAXGnILVdZv
17,Alvvays,Antisocialites,8 September 2017,"Indie Pop, Jangle Pop","Dream Pop, Twee Pop, Indie Rock","female vocals, bittersweet, lush, melodic, longing, love, ethereal, breakup","10,334",88,3.70,7CCwkPweMxKq8yWkVerH6T
18,DJ Sabrina the Teenage DJ,Makin' Magick,10 December 2017,Outsider House,"Nu-Disco, French House, Plunderphonics","happy, warm, uplifting, rhythmic, sampling, energetic, optimistic, party","2,212",22,3.72,0MUY0QmCikMRPgOCj69xQH
19,King Gizzard and The Lizard Wizard,Polygondwanaland,17 November 2017,"Psychedelic Rock, Progressive Rock","Space Rock, Krautrock","uncommon time signatures, progressive, male vocals, psychedelic, mysterious, epic, repetitive, hypnotic","7,859",43,3.69,3esB4Gl0K2LKCgACUJa3mu
20,Richard Dawson,Peasant,2 June 2017,"Progressive Folk, Avant-Folk","Singer-Songwriter, Neo-Medieval Folk, Freak Folk, Northumbrian Folk Music","medieval, passionate, acoustic, male vocals, bittersweet, pagan, progressive, concept album","4,888",50,3.69,1Yg57d0GXf7ko3fiEmUBvb
21,Fleet Foxes,Crack-Up,16 June 2017,"Progressive Folk, Chamber Folk","Psychedelic Folk, Avant-Folk","male vocals, atmospheric, lush, nature, poetic, progressive, bittersweet, melancholic","9,111",105,3.67,0xtTojp4zfartyGtbFKN3v
22,Jay-Z,4:44,30 June 2017,East Coast Hip Hop,"Conscious Hip Hop, Chipmunk Soul, Jazz Rap","introspective, male vocals, sampling, serious, conscious, bittersweet, concept album, mellow","9,925",81,3.66,7GoZNNb7Yl74fpk8Z6I2cv
23,The Ruins of Beverast,Exuvia,5 May 2017,Death Doom Metal,"Atmospheric Black Metal, Tribal Ambient, Funeral Doom Metal","atmospheric, hypnotic, ominous, dark, ritualistic, male vocals, tribal, heavy","2,022",27,3.70,1cwDxz56RMKHDmgHHADDQX
24,Protomartyr,Relatives in Descent,29 September 2017,Post-Punk,"Art Punk, Noise Rock","dark, male vocals, existential, philosophical, anxious, pessimistic, political, misanthropic","5,895",40,3.68,5w1LR7cbTKEoCfgB98rkgR
25,Wobbler,From Silence to Somewhere,20 October 2017,"Symphonic Prog, Progressive Rock",Progressive Folk,"epic, male vocals, progressive, energetic, complex, uncommon time signatures, existential, technical",964,19,3.71,7uxllPwgjev1FQ0gkGAkDe
26,Slowdive,Slowdive,5 May 2017,"Dream Pop, Shoegaze",Ambient Pop,"ethereal, atmospheric, sentimental, male vocals, mellow, female vocals, lush, romantic","13,363",116,3.64,4nSWX5A4xVomzrOEGDKLQ6
27,Natalia Lafourcade,Musas Vol. 1,5 May 2017,"Mexican Folk Music, Nueva canción latinoamericana","Bolero, Hispanic American Folk Music, Folk Pop, Son jarocho","female vocals, acoustic, calm, warm, soft, romantic, mellow, soothing","2,057",16,3.70,30isRfL4u7fowKgTVsydDt
28,Ezhel,Müptezhel,25 May 2017,Trap,"Pop Rap, Contemporary R&B, Pop Reggae","male vocals, drugs, urban, crime, nocturnal, sexual, hedonistic, sensual",548,4,3.67,5mo701EsMb8GFdF4YL3NG8
29,SZA,CTRL,9 June 2017,"Alternative R&B, Neo-Soul","Neo-Soul, Psychedelic Soul, Art Pop","love, introspective, sexual, breakup, bittersweet, sensual, female vocals, romantic","10,568",65,3.65,76290XdXVF9rPzGdNRWdCh
30,Kendrick Lamar,Damn.,14 April 2017,"West Coast Hip Hop, Conscious Hip Hop","Trap, Pop Rap, Political Hip Hop, Contemporary R&B","introspective, conscious, male vocals, rhythmic, death, sampling, urban, existential","35,759",256,3.55,4eLPsYPBmXABThSJ821sqY
31,MIKE,May God Bless Your Hustle,21 June 2017,"Experimental Hip Hop, East Coast Hip Hop","Conscious Hip Hop, Cloud Rap, Abstract Hip Hop, Hypnagogic Pop, Drumless","depressive, male vocals, sampling, lonely, urban, sombre, raw, introspective","2,815",14,3.69,3kVs5uH5hbdeNwp4q0cyEi
32,Phoebe Bridgers,Stranger in the Alps,22 September 2017,"Indie Folk, Singer-Songwriter",Chamber Folk,"introspective, death, sombre, poetic, sentimental, melancholic, female vocals, bittersweet","7,562",52,3.66,0AkAmg94XyiHODJaiGHh9O
33,Open Mike Eagle,Brick Body Kids Still Daydream,15 September 2017,"Abstract Hip Hop, Conscious Hip Hop","Jazz Rap, Neo-Soul, Experimental Hip Hop","male vocals, mellow, introspective, conscious, warm, melodic, abstract, concept album","4,909",29,3.67,1VDnqZVFSg0xVF104kaIix
34,Mach-Hommy,Luh Hertz,15 September 2017,"Jazz Rap, East Coast Hip Hop, Conscious Hip Hop","Boom Bap, Drumless, Abstract Hip Hop","male vocals, sampling, lo-fi, cryptic, sombre, apathetic, crime, lethargic",521,6,3.70,
35,Idles,Brutalism,10 March 2017,"Post-Hardcore, Post-Punk","Noise Rock, Hardcore Punk","sarcastic, political, aggressive, male vocals, noisy, manic, raw, angry","7,849",42,3.64,3VrfVLndSkH81aE4CqivdI
36,Dazey and the Scouts,Maggot,14 February 2017,"Queercore, Surf Punk","Pop Punk, Riot Grrrl, Indie Surf, Power Pop","female vocals, energetic, sexual, LGBT, playful, sarcastic, bittersweet, angry",542,3,3.68,4o2UhvIIalZ00nvHyk2nEz
37,Alex Cameron,Forced Witness,8 September 2017,"Synthpop, New Wave","Sophisti-Pop, Heartland Rock, New Wave","satirical, humorous, sarcastic, male vocals, melodic, hedonistic, bittersweet, vulgar","3,582",24,3.66,6y9QkSGMnFRJRbKzh0j91A
38,Øjne,Prima che tutto bruci,24 December 2017,Screamo,"Post-Rock, Post-Hardcore","passionate, energetic, melancholic, lonely, male vocals, aggressive, poetic, melodic",939,9,3.67,2jCqdYr2Y9cWjFzH9xWnde
39,Bell Witch,Mirror Reaper,20 October 2017,Funeral Doom Metal,"Slowcore, Post-Metal","funereal, death, depressive, sombre, atmospheric, heavy, male vocals, melancholic","3,880",46,3.65,64BDVizsgNdQ1CWeMrh4P7
40,The Caretaker,Everywhere at the End of Time: Stage 3,28 September 2017,"Turntable Music, Ambient","British Dance Band, Dark Ambient, Drone, Glitch","lonely, concept album, atmospheric, sampling, depressive, surreal, sombre, dark","2,999",19,3.65,
41,C'est la Key,Superflat,5 April 2017,"Radio Drama, Experimental","Field Recordings, Experimental Hip Hop, Singer-Songwriter, Satire, Comedy","concept album, surreal, self-hatred, depressive, political, introspective, existential, skit","1,447",31,3.60,63qKB9xQknFn5JEBJiXQtp
42,Tyler Childers,Purgatory,4 August 2017,"Progressive Country, Neo-Traditionalist Country","Outlaw Country, Bluegrass, Americana","bittersweet, religious, male vocals, love, alcohol, introspective, melodic, pastoral",571,8,3.68,35LcGAeeMwVeIJrDpB3Gkz
43,Vince Staples,Big Fish Theory,23 June 2017,"West Coast Hip Hop, Experimental Hip Hop, Hardcore Hip Hop","Hip House, UK Garage, Hyphy, Deconstructed Club","male vocals, energetic, urban, introspective, nihilistic, conscious, sampling, boastful","14,518",75,3.60,5h3WJG0aZjNOrayFu3MhCS
44,Hällas,Excerpts From a Future Past,13 October 2017,"Progressive Rock, Hard Rock",Psychedelic Rock,"male vocals, melodic",528,10,3.68,2HsUNCWEEiy3WgnTJTG1ge
45,Elder,Reflections of a Floating World,2 June 2017,"Heavy Psych, Stoner Rock, Stoner Metal","Progressive Rock, Stoner Metal, Psychedelic Rock","heavy, progressive, male vocals, psychedelic, melodic, epic, passionate, uncommon time signatures","3,673",35,3.64,3KHAbIF4DHori5AW2nWdUA
46,Jonghyun 종현,소품집: 이야기 Op.2,24 April 2017,"Contemporary R&B, K-Pop","Singer-Songwriter, Lounge, Korean Ballad, Art Pop, Adult Contemporary","male vocals, lonely, longing, mellow, warm, acoustic, melancholic, ballad",470,3,3.66,3eHhVAhT8uCrEPlZywai3o
47,Maria Arnal i Marcel Bagés,45 cerebros y 1 corazón,21 April 2017,Avant-Folk,"Catalan Folk Music, Copla, Flamenco nuevo, Art Pop, Psychedelic Folk","political, passionate, existential, poetic, conscious, female vocals, eclectic, pastoral",491,3,3.67,4pTAmm1bDtjzlqkce1AFyC
48,qebrµs,◙◙◙◙◙◙◙◙◙◙◙◙...,11 November 2017,"Flashcore, IDM","Glitch, Ambient, Post-Industrial, Drill and Bass, Microsound","futuristic, complex, instrumental, avant-garde, cold, mechanical, technical, atmospheric",735,2,3.66,
49,Medslaus,Poorboy,23 May 2017,"Experimental Hip Hop, East Coast Hip Hop, Conscious Hip Hop","Glitch Hop, Jazz Rap, Cloud Rap","introspective, male vocals, conscious, sampling, surreal, atmospheric, concept album, nocturnal",968,6,3.66,
50,Hell,Hell,11 August 2017,"Sludge Metal, Doom Metal","Black Metal, Drone Metal","heavy, dense, male vocals, atmospheric, infernal, ominous, noisy, cryptic",698,5,3.66,2191K4dfNNF5s58Gu7IWr5
51,Machine Girl,...Because I'm Young Arrogant and Hate Everything You Stand For,22 September 2017,Digital Hardcore,"Breakcore, Synth Punk, Gabber, Hardcore Breaks","aggressive, manic, chaotic, noisy, futuristic, energetic, androgynous vocals, dense","5,358",38,3.62,51uWjheW2eKWj4ICqOoadR
52,BROCKHAMPTON,Saturation,9 June 2017,"Pop Rap, West Coast Hip Hop","Alternative R&B, Hardcore Hip Hop, Experimental Hip Hop","eclectic, boastful, male vocals, LGBT, vulgar, drugs, summer, introspective","19,360",71,3.56,67smHJOf5YlFwad6dAlppm
53,Amenra,Mass VI,20 October 2017,Atmospheric Sludge Metal,"Post-Rock, Post-Hardcore","heavy, passionate, atmospheric, dark, depressive, sombre, male vocals, apocalyptic","1,977",16,3.64,03tCpZ9EP6CWO62yWKBTve
54,Iglooghost,Neō Wax Bloom,29 September 2017,"UK Bass, Wonky","Bubblegum Bass, Glitch Hop, Drill and Bass, Footwork, Future Bass","chaotic, playful, dense, manic, futuristic, energetic, quirky, complex","7,148",54,3.61,4GtJxsVNIZIm5setTuWQxk
55,Caligula's Horse,In Contact,15 September 2017,Progressive Metal,"Progressive Rock, Alternative Metal","uncommon time signatures, male vocals, technical, progressive, melodic, concept album, passionate, philosophical","1,051",14,3.63,76ffWagOEq3L48KPzK1zIj
56,Havukruunu,Kelle surut soi,29 April 2017,Pagan Black Metal,Melodic Black Metal,"epic, melodic, male vocals, triumphant, melancholic, dark, passionate, pagan",876,9,3.64,0z3wR106A8eeTOK3mBQlej
57,Power Trip,Nightmare Logic,22 February 2017,Thrash Metal,Crossover Thrash,"aggressive, heavy, male vocals, energetic, rhythmic, angry, apocalyptic, rebellious","3,378",33,3.61,3suNG9n4WGYQabXhUTkQ70
58,Merkabah,Million Miles,10 November 2017,"Avant-Prog, Brutal Prog","Avant-Garde Jazz, Avant-Garde Metal","instrumental, dense, complex, dissonant, chaotic, avant-garde, uncommon time signatures, heavy",524,7,3.64,2e7UJ1oEJI6nN4GZd7nR65
59,King Krule,The Ooz,13 October 2017,Art Rock,"Trip Hop, Post-Punk, Jazz-Rock, Nu Jazz, Neo-Psychedelia","nocturnal, urban, atmospheric, male vocals, introspective, dark, lonely, melancholic","10,052",90,3.58,6Ulu31dfRTpIAud08ZIhXd
60,Psychedelic Porn Crumpets,High Visceral {Part 2},14 April 2017,Psychedelic Rock,"Progressive Rock, Heavy Psych, Space Rock","male vocals, psychedelic, energetic, playful, noisy, surreal, melodic, rhythmic",791,1,3.64,7FYAHQXSCN80hqBZXUvKwj
61,Der Weg einer Freiheit,Finisterre,25 August 2017,Black Metal,"Atmospheric Black Metal, Post-Metal","atmospheric, male vocals, melancholic, dark, energetic, sombre, melodic, heavy",825,10,3.63,088rxizTZBr7cVfY00NZs9
62,Kelela,Take Me Apart,6 October 2017,"Alternative R&B, UK Bass","Art Pop, Wonky, Ambient Pop, Contemporary R&B","nocturnal, sensual, futuristic, ethereal, female vocals, atmospheric, sexual, lush","4,433",29,3.60,6pw1XPub1bSMq03ASVqRVu
63,Tchornobog,Tchornobog,28 July 2017,"Death Metal, Black Metal","Atmospheric Black Metal, Death Doom Metal","dissonant, heavy, infernal, dense, atmospheric, dark, apocalyptic, ominous","1,172",16,3.62,3NMpePZktvaCWtiYMAfPhg
64,Perfume Genius,No Shape,5 May 2017,Art Pop,"Ambient Pop, Chamber Pop, Minimal Wave, Art Rock, Neo-Psychedelia","LGBT, love, male vocals, melancholic, introspective, lush, atmospheric, lonely","5,801",23,3.59,7awgq3vvlsIeA7dZduR9x4
65,Kayoko Yoshizawa 吉澤嘉代子,屋根裏獣 (Yaneura juu),15 March 2017,"Art Pop, Chamber Pop",Jazz Pop,"lush, female vocals, eclectic, melodic, warm, playful, dense, mellow",432,1,3.64,5XjkMIxoHwWRZjRSktzTVv
66,Brand New,Science Fiction,20 October 2017,"Indie Rock, Emo, Alternative Rock","Post-Hardcore, Art Rock","sombre, melancholic, male vocals, existential, introspective, depressive, dark, melodic","7,272",67,3.57,0CuR6Mppen7l6GRFwzNJbl
67,Chelsea Wolfe,Hiss Spun,22 September 2017,"Doom Metal, Gothic Rock, Post-Metal","Atmospheric Sludge Metal, Ethereal Wave, Darkwave","heavy, female vocals, dark, ominous, sombre, atmospheric, anxious, noisy","4,330",30,3.60,1nnenAgIzIipcodyg879Vx
68,Spectral Voice,Eroded Corridors of Unbeing,13 October 2017,Death Doom Metal,,"atmospheric, funereal, ritualistic, heavy, ominous, death, aggressive, dense","1,735",17,3.61,4hWRz8Cvr1OSgikycop9fE
69,Billy Woods,Known Unknowns,9 June 2017,"Abstract Hip Hop, East Coast Hip Hop",Conscious Hip Hop,"abstract, male vocals, sampling, cryptic, introspective, sombre, political, dark","1,823",16,3.62,67paibJlA5CXa0i8L8rraq
70,Rosalía,Los ángeles,10 February 2017,"Flamenco nuevo, Contemporary Folk","Avant-Folk, Contemporary Folk, Saeta","female vocals, death, passionate, dark, acoustic, melancholic, longing, poetic","3,168",22,3.60,7mGsUwMuhsKiOKx9X9k7tj
71,LOONA 1/3 이달의 소녀 1/3,Love & Evil,27 April 2017,"K-Pop, Synthpop","Dance-Pop, Classical Crossover","melodic, female vocals, mellow, vocal group, playful, warm, happy, romantic","1,310",4,3.60,2o19HGYWURILfZ9BSNw4ue
72,Paramore,After Laughter,12 May 2017,"New Wave, Alternative Dance, Pop Rock","Synthpop, Power Pop","bittersweet, female vocals, energetic, introspective, melodic, playful, sarcastic, rhythmic","7,251",61,3.57,1c9Sx7XdXuMptGyfCB6hHs
73,Unable to Fully Embrace This Happiness,The Morning Sun and the End of the World,26 July 2017,Emoviolence,Noisecore,"lo-fi, noisy, chaotic, aggressive, anxious, passionate, angry, raw","1,014",11,3.60,1NOY2qnNHr5G9j4YcxaFek
74,Satan's Hallow,Satan's Hallow,1 April 2017,"Heavy Metal, US Power Metal",Speed Metal,"female vocals, energetic, melodic, heavy, fantasy, nocturnal, aggressive, triumphant",363,5,3.62,
75,Lovebites,Awakening From Abyss,25 October 2017,Power Metal,"Symphonic Metal, Speed Metal","female vocals, energetic, melodic, passionate, heavy, uplifting, triumphant, technical",279,6,3.61,3KOu0n749u28ISJCEAvcYY
76,Phrenelith,Desolate Endscape,29 March 2017,Death Metal,,"ominous, apocalyptic, heavy, aggressive, dark, death, infernal, angry",685,5,3.61,3fQAWa0Un6yz0g2U0o4yO7
77,Dvne,Asheran,28 July 2017,"Progressive Metal, Sludge Metal","Stoner Metal, Post-Metal","male vocals, heavy, progressive, psychedelic, science fiction, melodic, concept album, desert",572,5,3.62,6sCD4i8Sv3XEKZAwX1cXZl
78,Ill Considered,Ill Considered,18 September 2017,Avant-Garde Jazz,"Spiritual Jazz, Jazz Fusion, Jazz-Funk","improvisation, melodic, instrumental, rhythmic, warm, passionate",380,2,3.63,1QMwQqJC2OOfqMqenffO6t
79,Xiu Xiu,FORGET,24 February 2017,"Art Pop, Noise Pop","Synth Punk, Experimental Rock, Post-Industrial","depressive, dark, male vocals, anxious, surreal, noisy, existential, disturbing","6,042",33,3.57,151CDCqH6rwgFzDsLvKf7g
80,Evilfeast,Elegies of the Stellar Wind,15 December 2017,Atmospheric Black Metal,Symphonic Black Metal,"atmospheric, male vocals, cold, soothing, epic, occult, fantasy, winter",570,6,3.61,6AVDwyBComuAUEX5rUL0V5
81,Incinerated,Lobotomise,5 August 2017,"Deathgrind, Brutal Death Metal, Goregrind",Slam Death Metal,"heavy, noisy, aggressive, male vocals, energetic, rhythmic, vulgar, lo-fi",454,4,3.61,4UCicJMjblJxa6cNk97khX
82,Midwife,"Like Author, Like Daughter",16 June 2017,"Slowcore, Dream Pop","Shoegaze, Lo-Fi / Slacker Rock, Ambient","melancholic, lonely, calm, sad, lo-fi, lethargic, atmospheric, depressive",642,4,3.61,5RQRwaL260xB7XNuVdyzyC
83,Neil Cicierega,Mouth Moods,23 January 2017,"Mashup, Pop, Musical Comedy","Musical Comedy, Dance-Pop, Novelty, Synthpop, Plunderphonics","mashup, sampling, eclectic, playful, humorous, happy, surreal, quirky","3,559",48,3.55,
84,Jason Isbell and The 400 Unit,The Nashville Sound,16 June 2017,"Americana, Alt-Country","Country Rock, Southern Rock","introspective, male vocals, melodic",953,13,3.60,0gYLr4tpPpRrPg2WIS64jw
85,Ryuichi Sakamoto,Async,29 March 2017,Ambient,"Electroacoustic, Modern Classical, Field Recordings","mysterious, atmospheric, dark, sparse, minimalistic, calm, meditative, abstract","2,995",14,3.59,2535QNWIvsIszI8AglJQO4
86,Esprit Fantasy Esprit 空想,200% Electronica,17 November 2017,"Chillwave, Vaporwave","Hypnagogic Pop, Downtempo","summer, warm, atmospheric, ethereal, surreal, hypnotic, instrumental, uplifting",526,4,3.61,6WgSCcRfaXuBVfM2TpV0Kl
87,Sharon Jones and The Dap-Kings,Soul of a Woman,17 November 2017,"Southern Soul, Deep Soul",Funk,"melodic, female vocals, passionate, conscious, bittersweet, religious, Christian",666,8,3.61,7vpplH7g4IZXRshDgWTqUn
88,Yellow Eyes,Immersion Trench Reverie,20 October 2017,Atmospheric Black Metal,Field Recordings,"nature, forest, atmospheric, dark, melancholic, passionate, male vocals, hypnotic",600,7,3.61,7K73RBoqxp4pDgE4Z2f8E7
89,Red Vox,Another Light,14 December 2017,Alternative Rock,"Neo-Psychedelia, Psychedelic Rock, Art Rock, Indie Rock, Space Rock Revival","psychedelic, male vocals, melodic, cryptic, anxious, concept album, progressive, ethereal","1,048",5,3.59,2R3b2DBSzcT4PptgOcGTRh
90,Galneryus,Ultimate Sacrifice,27 September 2017,"Power Metal, Progressive Metal","Neoclassical Metal, Symphonic Metal","triumphant, melodic, technical, male vocals, energetic, orchestral, passionate, progressive",327,6,3.59,5vgyVr14DoxfFp8ylbnh0L
91,Bedwetter,Volume 1: Flick Your Tongue Against Your Teeth and Describe the Present.,29 January 2017,"Experimental Hip Hop, Abstract Hip Hop","Cloud Rap, Illbient, Ambient","self-hatred, anxious, disturbing, existential, pessimistic, dark, introspective, angry","5,755",39,3.56,1YThro7PYiGqD4Y0V7iD4z
92,The War on Drugs,A Deeper Understanding,25 August 2017,"Heartland Rock, Indie Rock","Neo-Psychedelia, Dream Pop, Americana","uplifting, male vocals, lush, melodic, introspective, passionate, longing, bittersweet","5,111",63,3.56,4TkmrrpjlPoCPpGyDN3rkF
93,AL-90,АРХВ,25 September 2017,Outsider House,"Ambient House, Downtempo, Future Garage, Microhouse","nocturnal, dark, lo-fi, atmospheric, lonely, melancholic, hypnotic, dense",718,3,3.59,4o48qIz1oT5kwSb09I2YxP
94,Big Thief,Capacity,9 June 2017,"Indie Rock, Indie Folk","Indie Folk, Dream Pop, Americana","female vocals, warm, acoustic, calm, LGBT, melancholic, melodic, longing","4,177",40,3.57,2hOYLjoRQFXcdviMiwtgxe
95,Red Velvet,Perfect Velvet,20 November 2017,"K-Pop, Electropop, Dance-Pop","Contemporary R&B, Trap [EDM]","female vocals, energetic, rhythmic, sensual, mysterious, love, melodic, nocturnal","2,317",13,3.58,0rvrbZvaDX5S9ZBhwOwFfH
96,Širom,Lahko sem glinena mesojedka (I Can Be a Clay Snapper),8 September 2017,Avant-Folk,"Free Improvisation, European Free Jazz, Post-Minimalism","hypnotic, improvisation, atmospheric, minimalistic, ritualistic, spiritual, funereal, mysterious",290,1,3.61,4jRjWq7ybqorgmCmnc6NpD
97,Hizuru,飛鶴 -Hizuru-,25 October 2017,"Chamber Jazz, Japanese Folk Music","Progressive Folk, Tribal Ambient, Chamber Folk","rhythmic, atmospheric, ethereal, uplifting, spiritual, melodic, mysterious, instrumental",290,1,3.63,62mYtw4knONfEIYn54vKHk
98,Svitlana Nianio Світлана Няньо & Oleksandr Yurchenko Олександр Юрченко,Знаєш як? Розкажи,22 July 2017,Avant-Folk,,"mysterious, lo-fi, female vocals, cryptic, cold, dark, surreal, ethereal",894,7,3.59,73Im28aTDzlj9rO5Ud52Km
99,Various Artists,Mono no aware,17 March 2017,"Ambient, Electronic","Sound Collage, Drone, Field Recordings, Musique concrète, Epic Collage","atmospheric, hypnotic, mysterious, minimalistic, melancholic, instrumental, dense, bittersweet","2,265",11,3.57,29oEVx1KwMEjdK0bsT2IZu
100,Don L,Roteiro pra Aïnouz (Vol. 3),23 June 2017,"Hip Hop, Pop Rap","Contemporary R&B, Conscious Hip Hop, Trap","male vocals, introspective, progressive, atmospheric, boastful, conscious",314,2,3.71,5iiKMkLQJGn7DpgGWRurYc
101,Rapsody,Laila's Wisdom,22 September 2017,Conscious Hip Hop,"Neo-Soul, Jazz Rap, Boom Bap, Abstract Hip Hop","female vocals, passionate, conscious, sampling, serious, rhythmic, warm, uplifting","1,978",11,3.57,0IkioqpdjITJwhbRliLoCx
102,Irreversible Entanglements,Irreversible Entanglements,26 September 2017,"Free Jazz, Jazz Poetry",Spiritual Jazz,"improvisation, poetic, protest, female vocals, avant-garde, angry, political, acoustic",351,4,3.60,3Ossz7Ux0dVnnGOOZitsUZ
103,Yazz Ahmed,La saboteuse,12 May 2017,Arabic Jazz,"Jazz Fusion, Chamber Jazz, Modal Jazz","playful, instrumental, mysterious, melancholic, psychedelic, warm",629,3,3.59,0JdGIi4Bds7fIM8ROdnjS2
104,Various Artists,Sounds of Sisso,10 June 2017,Singeli,"Bongo Flava, Shangaan Electro","energetic, party, manic, repetitive, sampling, chaotic, male vocals, lo-fi",362,1,3.59,7nBPVSbUYeHKl9syEbQhs0
105,Delusional Parasitosis / Ecchymosis / Dissevered / Bleeding,Scaphism 4-Way Split,27 November 2017,"Slam Death Metal, Brutal Death Metal",,"heavy, misanthropic, vulgar, dense, death, male vocals, raw, violence",346,4,3.57,43yHszu40ksx3WmlyLTplR
106,Mobbyn,Mobbyn,13 January 2017,Trap,"Drill, Gangsta Rap","crime, drugs, urban, humorous, vulgar, male vocals, sexual, playful",401,2,3.57,
107,The Night Flight Orchestra,Amber Galactic,19 May 2017,"Hard Rock, AOR","Yacht Rock, Pop Rock","melodic, male vocals, soft, rhythmic, anthemic",296,8,3.58,7sCUwxqW8oor9atVS5vm8p
108,L'Rain,L'Rain,15 September 2017,"Neo-Psychedelia, Art Pop, Neo-Soul","Ambient Pop, Tape Music, Dream Pop, Field Recordings, Progressive Pop","spiritual, female vocals, ethereal, psychedelic, lush, uncommon time signatures, surreal, atmospheric",883,3,3.58,13C5hXzFLfeP6xSN8coYI6
109,Seiko Oomori 大森靖子,Kitixxxgaia,15 March 2017,"J-Pop, Pop Rock, Art Pop","Electropop, Progressive Pop, Dance-Pop","female vocals, quirky, playful, energetic, aggressive, progressive, rebellious, triumphant",604,3,3.57,4afqsde3xfgxujmPzbnwOO
