position,artist,album,release_date,primary_genres,secondary_genres,descriptors,number_ratings,number_reviews,avg_rating,id_spotify
1,"Tyler, the Creator",Flower Boy,21 July 2017,West Coast Hip Hop,"Neo-Soul, Synth Funk, Alternative R&B, Pop Rap, Neo-Psychedelia","introspective, lonely, lush, LGBT, warm, male vocals, love, longing","34,599",219,3.91,2nkto6YNI4rUYTLqEwWJ3o
2,Mount Eerie,A Crow Looked at Me,24 March 2017,"Singer-Songwriter, Indie Folk",Slowcore,"death, introspective, love, melancholic, lonely, sad, raw, sombre","15,250",223,3.90,5p64XgvFREt1P6mC7Xl6XN
3,Mach-Hommy,The G.A.T...,28 September 2017,"Jazz Rap, East Coast Hip Hop, Conscious Hip Hop","Boom Bap, Abstract Hip Hop, Hardcore Hip Hop","sampling, male vocals, lo-fi, urban, boastful, repetitive, introspective, warm","2,051",20,3.92,
4,LOONA ODD EYE CIRCLE 이달의 소녀 오드아이써클,Max & Match,31 October 2017,"K-Pop, Dance-Pop, Future Bass","Electropop, Contemporary R&B, Synthpop","female vocals, melodic, rhythmic, energetic, playful, sensual, lush, romantic","4,991",32,3.83,6J6hcDzG79Uh0xob2e5J29
5,Farazi,Hayalet Islığı Instrumentals,19 January 2017,"Instrumental Hip Hop, Boom Bap",Turntablism,"sampling, instrumental",324,2,3.92,3S9i5aqYCEyGxBHYR6A9vs
6,Big K.R.I.T.,4eva Is a Mighty Long Time,27 October 2017,Southern Hip Hop,"Dirty South, Conscious Hip Hop, Jazz Rap, Neo-Soul, Trap","introspective, spiritual, longing, bittersweet, boastful, male vocals, conscious, eclectic","7,227",45,3.81,6vGEX2ejVVsHTIsqI1teZg
7,Standing on the Corner,Red Burns,11 September 2017,"Sound Collage, Neo-Soul","Poetry, Spoken Word, Hypnagogic Pop, Avant-Garde Jazz, Abstract Hip Hop","sampling, eclectic, urban, abstract, conscious, mellow, psychedelic, political","4,265",30,3.82,6UZsLBXdL7C5rHRfNLCesA
8,BROCKHAMPTON,Saturation II,25 August 2017,"Pop Rap, West Coast Hip Hop","Alternative R&B, Hardcore Hip Hop, Experimental Hip Hop","LGBT, boastful, summer, male vocals, playful, eclectic, introspective, rebellious","20,061",87,3.75,0XnqQzdSFAml08XZoRt1St
9,BROCKHAMPTON,Saturation III,15 December 2017,"Pop Rap, West Coast Hip Hop","Alternative R&B, Hardcore Hip Hop, Experimental Hip Hop","male vocals, quirky, introspective, LGBT, bittersweet, boastful, summer, energetic","18,837",70,3.74,5c2AzoNyr46fCQM5d8mxE0
10,Lingua Ignota,All Bitches Die,7 June 2017,"Death Industrial, Neoclassical Darkwave",Lieder,"misanthropic, female vocals, ominous, noisy, disturbing, depressive, apocalyptic, alienation","5,720",49,3.78,3aDIaurNXBbxjrbQm5l7iY
