position,artist,album,release_date,primary_genres,secondary_genres,descriptors,number_ratings,number_reviews,avg_rating,id_spotify
1,Grouper,A I A: Alien Observer,11 April 2011,Ambient,"Dream Pop, Drone, Ambient Pop","ethereal, atmospheric, lonely, space, melancholic, female vocals, lo-fi, nocturnal","9,709",52,3.87,4Z1BFX1oBckY8bhGEWMYmi
2,Fleet Foxes,Helplessness Blues,3 May 2011,"Indie Folk, Chamber Folk","Folk Pop, Chamber Pop, Progressive Folk","autumn, acoustic, lush, nature, pastoral, bittersweet, romantic, poetic","15,111",210,3.83,7D0rCfJjFj9x0bdgRKtvzb
3,Danny Brown,XXX,15 August 2011,Hardcore Hip Hop,"Experimental Hip Hop, Conscious Hip Hop","drugs, vulgar, sexual, depressive, boastful, hedonistic, manic, energetic","16,632",117,3.83,1QESrfmlfAl19Gr8mXcysi
4,Matana Roberts,Coin Coin Chapter One: Gens de couleur libres,10 May 2011,"Avant-Garde Jazz, Spiritual Jazz","Free Jazz, Spoken Word, Jazz Poetry, Spirituals, Modern Creative","history, avant-garde, poetic, political, suspenseful, female vocals, concept album, passionate","3,106",57,3.88,0kNc7P4kmG5ZQbCvI44R9B
5,Tim Hecker,"Ravedeath, 1972",14 February 2011,"Ambient, Drone",Noise,"instrumental, atmospheric, dense, sombre, noisy, surreal, melancholic, hypnotic","10,652",89,3.84,6Iu8toVsvCc3I4INxYiVIy
6,Johann Sebastian Bach / Cantus Cölln / Konrad Junghänel,Johannes Passion Version IV (1749),22 November 2011,"Oratorio, Baroque Music, Christian Liturgical Music",,"Christian, male vocals, female vocals, religious, oratorio, epic, spiritual, choral",368,3,3.91,2huoPM6baNXn2HziOLL1MK
7,Oneohtrix Point Never,Replica,5 November 2011,"Plunderphonics, Ambient","Glitch, Vaporwave, Progressive Electronic, Broken Transmission","sampling, atmospheric, surreal, mysterious, cold, hypnotic, melancholic, repetitive","13,912",105,3.78,1DtXzewBvv5vZBnl3ZmJqo
8,PJ Harvey,Let England Shake,14 February 2011,"Singer-Songwriter, Art Rock","Indie Folk, Chamber Pop","war, history, passionate, protest, political, death, female vocals, serious","10,903",222,3.79,2f8Rfpdol5jrJe3OL4YH6k
9,Ween,Caesar Demos,11 August 2011,"Alternative Rock, Psychedelic Rock, Art Rock","Experimental Rock, Psychedelic Folk, Folk Rock","lo-fi, psychedelic, humorous, eclectic, raw, bittersweet, quirky, melodic",616,8,3.85,
10,Car Seat Headrest,Twin Fantasy,2 November 2011,Lo-Fi / Slacker Rock,"Singer-Songwriter, Noise Pop","LGBT, lo-fi, anxious, passionate, bittersweet, concept album, noisy, lonely","11,986",89,3.76,36bKz0REYmsJEcVwV3kfpH
