position,artist,album,release_date,primary_genres,secondary_genres,descriptors,number_ratings,number_reviews,avg_rating,id_spotify
1,Ichiko Aoba 青葉市子,0,23 October 2013,"Contemporary Folk, Singer-Songwriter","Field Recordings, Avant-Folk","soft, female vocals, calm, warm, sparse, soothing, acoustic, mellow","7,424",42,3.95,4yqm0ZLcphXs8M8cVvLKym
2,Kanye West,Yeezus,18 June 2013,"Experimental Hip Hop, Industrial Hip Hop","Industrial Hip Hop, Hardcore Hip Hop, Electro-Industrial","vulgar, manic, aggressive, boastful, sampling, noisy, angry, sexual","43,148",413,3.79,7D2NdGvBHIavgLhmcwhluK
3,Farazi v Kayra,Hayalet Islığı,13 September 2013,"Boom Bap, Abstract Hip Hop",Turntablism,"passionate, funereal, concept album, male vocals, rhythmic, death, sampling, depressive","1,176",12,3.90,0HsnIuxYBYTX9nXBibFPEo
4,Tim Hecker,Virgins,14 October 2013,"Ambient, Drone, Electroacoustic","Glitch, Noise, Post-Minimalism, Dark Ambient","dark, instrumental, dense, atmospheric, noisy, surreal, dissonant, ominous","10,320",79,3.86,2v5w7kFTvULw4d5jHtWhA6
5,Queens of the Stone Age,...Like Clockwork,3 June 2013,Alternative Rock,"Hard Rock, Stoner Rock, Art Rock","death, sombre, male vocals, lonely, melancholic, melodic, desert, existential","14,369",156,3.83,06S2JBsr4U1Dz3YaenPdVq
6,Gorguts,Colored Sands,30 August 2013,"Technical Death Metal, Dissonant Death Metal","Avant-Garde Metal, Progressive Metal","technical, dissonant, complex, atmospheric, heavy, dense, ominous, history","4,470",57,3.82,1qhgbP27HYf4iCiLbquXys
7,Devon Hendryx,The Ghost~Pop Tape,11 November 2013,"Alternative R&B, Ambient Pop, Art Pop","Vaporwave, Hypnagogic Pop, Cloud Rap, Downtempo, Experimental Hip Hop","lo-fi, ethereal, atmospheric, nocturnal, lonely, sexual, melancholic, sampling","4,173",46,3.81,
8,Candy Claws,Ceres & Calypso in the Deep Time,25 June 2013,"Dream Pop, Neo-Psychedelia, Shoegaze","Psychedelic Pop, Noise Pop, Exotica","psychedelic, lush, Wall of Sound, tropical, warm, dense, playful, fantasy","11,368",85,3.77,5KkGAZrad4N4rc5FriwgzU
9,Jon Hopkins,Immunity,3 June 2013,"Microhouse, IDM","Tech House, Ambient, Ambient Techno","atmospheric, instrumental, rhythmic, hypnotic, nocturnal, lush, calm, futuristic","9,780",88,3.76,1rxWlYQcH945S3jpIMYR35
10,Deafheaven,Sunbather,11 June 2013,"Blackgaze, Post-Metal","Post-Rock, Screamo","melancholic, passionate, atmospheric, warm, male vocals, dense, existential, lonely","18,834",188,3.69,2kKXGWaCEl06EKZ4DxBJIT
11,The Dillinger Escape Plan,One of Us Is the Killer,14 May 2013,Mathcore,"Alternative Metal, Post-Hardcore","uncommon time signatures, energetic, chaotic, aggressive, technical, male vocals, angry, complex","4,547",35,3.75,3hVzkA43GoKicPTs5rDr0u
12,Oneohtrix Point Never,R Plus Seven,30 September 2013,Progressive Electronic,"Ambient, Glitch, Utopian Virtual, Sound Collage, Sequencer & Tracker","futuristic, atmospheric, surreal, mysterious, ethereal, instrumental, progressive, sampling","10,869",59,3.73,68PRq4zj7YXMwiUq6FNGvR
13,Yayayi,Yayayi,30 September 2013,"Chopped and Screwed, Glitch Hop, Experimental Hip Hop","Trap, Wonky, Snap, Cloud Rap","surreal, psychedelic, sampling, eclectic, hypnotic, futuristic, urban, male vocals","2,139",23,3.75,6C1kxJUSIF3lszIz5oVAyZ
14,Julia Holter,Loud City Song,19 August 2013,"Art Pop, Ambient Pop","Chamber Pop, Jazz Pop, Chamber Jazz, Ambient","nocturnal, ethereal, mysterious, atmospheric, urban, poetic, female vocals, lush","6,890",74,3.72,3JhMmVL9ISUnRaVbrJ72OB
15,Car Seat Headrest,Nervous Young Man,23 August 2013,"Lo-Fi / Slacker Rock, Singer-Songwriter","Noise Pop, Indietronica, Indie Folk","lo-fi, male vocals, lonely, anxious, love, introspective, death, alienation","3,348",31,3.73,4cARAECW98cS10AGV2CH8Z
16,Nick Cave & The Bad Seeds,Push the Sky Away,18 February 2013,"Art Rock, Singer-Songwriter","Chamber Pop, Ambient Pop","atmospheric, sparse, cryptic, poetic, sombre, male vocals, melancholic, ominous","7,301",109,3.71,6Yl951bwCSY70QjvLm1AEG
17,Vampire Weekend,Modern Vampires of the City,14 May 2013,Indie Pop,"Chamber Pop, Art Pop","warm, melodic, lush, male vocals, playful, philosophical, melancholic, urban","12,700",135,3.67,2Qi2SySN2ePZwMLDSv9Krn
18,Jason Isbell,Southeastern,11 June 2013,"Americana, Singer-Songwriter, Country","Alt-Country, Southern Rock","sad, soft, introspective, serious, lonely, melancholic, bittersweet, pastoral","1,613",23,3.73,1bg476ZQn7hmcXaU05SHV4
19,tricot,T H E,2 October 2013,"Math Rock, J-Rock",Post-Hardcore,"female vocals, passionate, complex, energetic, melodic, uncommon time signatures, playful, quirky","4,981",25,3.72,6hn3uEbxXpQUVY3dmidqXu
20,Gravity Boys,GTBSG,12 August 2013,"Cloud Rap, Alternative R&B","Trap, Experimental Hip Hop, Vaportrap, Emo Rap, Ambient Pop","ethereal, futuristic, winter, cold, male vocals, dense, bittersweet, atmospheric","1,590",9,3.73,
21,Melt-Banana,Fetch,1 October 2013,"Noise Rock, Experimental Rock","Art Punk, Noisecore","playful, noisy, energetic, manic, female vocals, chaotic, quirky, rhythmic","6,615",41,3.69,4C8VqFE4h4KWIsbAViqIby
22,Daft Punk,Random Access Memories,20 May 2013,"Disco, Electronic","Synth Funk, Electro-Disco, Smooth Soul","rhythmic, party, melodic, uplifting, male vocals, playful, lush, warm","22,613",288,3.61,4m2880jivSbbyEGAKfITCa
23,Steven Wilson,The Raven That Refused to Sing (And Other Stories),25 February 2013,Progressive Rock,"Jazz-Rock, Symphonic Prog, Art Rock","sombre, progressive, eclectic, passionate, male vocals, complex, melancholic, atmospheric","6,236",119,3.67,2xJFvV7JzoYYMere5rqjVf
24,Estas Tonne,Internal Flight,1 June 2013,"New Age, Flamenco nuevo","Post-Minimalism, Progressive Folk","instrumental, ethereal, acoustic, atmospheric, uplifting, meditative, spiritual, technical",750,6,3.72,3nWd5bJ9Sgu7jfJzIJyD9Z
25,Kinoko Teikoku きのこ帝国,Eureka,6 February 2013,"Indie Rock, Shoegaze","Dream Pop, Post-Rock, J-Rock","passionate, female vocals, melodic, ethereal, romantic, lush, dense, atmospheric","3,436",9,3.70,3PYWQo89juaAr0HooKtfEH
26,Paysage d'Hiver,Das Tor,22 February 2013,Atmospheric Black Metal,"Dark Ambient, Nature Recordings, Field Recordings","cold, lo-fi, winter, atmospheric, raw, hypnotic, repetitive, dark","2,198",36,3.70,7CdtVhk66Beb5wAN069BBt
27,Haken,The Mountain,2 September 2013,"Progressive Rock, Progressive Metal",,"technical, progressive, melodic, male vocals, epic, uplifting, lush, eclectic","2,654",49,3.68,3RBULTZJ97bvVzZLpxcB0j
28,Leprous,Coal,20 May 2013,Progressive Metal,Avant-Garde Metal,"male vocals, melodic, uncommon time signatures, progressive, passionate, atmospheric, melancholic, rhythmic","2,132",36,3.69,1lG3iYVRwaTDseNfP458Sb
29,Satan,Life Sentence,29 April 2013,Heavy Metal,Speed Metal,"male vocals, energetic, heavy, melodic, aggressive","1,003",16,3.69,4o5cbXU8LgncNOKAMnJYEn
30,Altar of Plagues,Teethed Glory and Injury,30 April 2013,"Atmospheric Black Metal, Post-Metal","Atmospheric Sludge Metal, Post-Rock, Avant-Garde Metal, Industrial Metal","dark, ominous, cold, atmospheric, heavy, male vocals, dissonant, avant-garde","3,973",41,3.67,0rxVvUpRrgYMYT6zxDb4SK
