position,artist,album,release_date,primary_genres,secondary_genres,descriptors,number_ratings,number_reviews,avg_rating,id_spotify
1,The Microphones,Microphones in 2020,7 August 2020,"Singer-Songwriter, Indie Folk, Avant-Folk","Drone, Progressive Folk, Psychedelic Folk, Slowcore","introspective, repetitive, existential, sentimental, male vocals, melancholic, meditative, bittersweet","10,829",197,3.87,
2,Ichiko Aoba 青葉市子,アダンの風 (Windswept Adan),2 December 2020,"Chamber Folk, Singer-Songwriter","Ambient, New Age, Nature Recordings","peaceful, aquatic, ethereal, female vocals, calm, lush, nature, soothing","10,112",81,3.87,0clp0SFljD12UGPDOP0kN4
3,Jessie Ware,What's Your Pleasure?,26 June 2020,"Dance-Pop, Disco","Nu-Disco, Synthpop, Synth Funk, Smooth Soul, Boogie","sensual, female vocals, lush, love, rhythmic, party, nocturnal, romantic","12,578",110,3.81,1CTm3ARqDETSm7GfvNYNJp
4,clipping.,Visions of Bodies Being Burned,23 October 2020,"Horrorcore, Industrial Hip Hop, Experimental Hip Hop","Noise, Dark Ambient, Field Recordings","avant-garde, noisy, dark, ominous, male vocals, nocturnal, scary, death","12,093",112,3.80,0b1q9se93BEqBl3kiltn33
5,Fiona Apple,Fetch the Bolt Cutters,17 April 2020,"Art Pop, Singer-Songwriter, Progressive Pop","Piano Rock, Jazz Pop, Cabaret, Rhythm & Blues","raw, passionate, female vocals, progressive, rhythmic, playful, rebellious, introspective","19,527",252,3.73,0fO1KemWL2uCCQmM22iKlj
6,Deafheaven,10 Years Gone,4 December 2020,"Blackgaze, Post-Metal","Post-Rock, Screamo","melancholic, atmospheric, longing, lush, heavy, melodic, energetic, dense",764,6,3.82,4PVyUMglBuxtPVip15aFfq
7,Charli XCX,How I'm Feeling Now,15 May 2020,"Electropop, Hyperpop, Bubblegum Bass","Deconstructed Club, Glitch Pop, Pop Rap, Alternative R&B","longing, love, noisy, female vocals, introspective, lonely, romantic, sentimental","19,870",181,3.69,3a9qH2VEsSiOZvMrjaS0Nu
8,Run the Jewels,RTJ4,3 June 2020,"Hardcore Hip Hop, Political Hip Hop",Experimental Hip Hop,"male vocals, political, aggressive, boastful, conscious, sampling, urban, energetic","14,010",121,3.71,6cx4GVNs03Pu4ZczRnWiLd
9,Phoebe Bridgers,Punisher,19 June 2020,"Singer-Songwriter, Indie Folk","Indie Rock, Chamber Folk","female vocals, mellow, lonely, sad, melancholic, longing, introspective, breakup","16,013",168,3.69,2xECuqnvvmVktV7UO8Dd3s
10,Mac Miller,Circles,17 January 2020,Neo-Soul,"Pop Rap, Psychedelic Soul, Alternative R&B","bittersweet, male vocals, introspective, melancholic, sad, mellow, death, lonely","13,364",131,3.70,5sY6UIQ32GqwMLAfSNEaXb
