position,artist,album,release_date,primary_genres,secondary_genres,descriptors,number_ratings,number_reviews,avg_rating,id_spotify
1,Kanye West,My Beautiful Dark Twisted Fantasy,22 November 2010,"Pop Rap, Hip Hop",Art Pop,"epic, boastful, passionate, sampling, hedonistic, anthemic, vulgar, male vocals","55,470",663,4.09,20r762YmB5HeofjMCiPMLv
2,Joanna Newsom,Have One on Me,23 February 2010,"Chamber Folk, Singer-Songwriter, Progressive Folk",,"poetic, pastoral, warm, passionate, lush, complex, autumn, female vocals","10,084",221,3.96,
3,The Brave Little Abacus,Just Got Back From the Discomfort—We're Alright,29 May 2010,"Midwest Emo, Experimental Rock","Math Rock, Post-Hardcore, Art Rock","passionate, bittersweet, introspective, uncommon time signatures, anxious, energetic, existential, poetic","9,237",124,3.87,3jLrWEYpwKnptkzEXAyT66
4,Flying Lotus,Cosmogramma,3 May 2010,"IDM, Glitch Hop, Wonky","Nu Jazz, Instrumental Hip Hop, Wonky","futuristic, space, chaotic, rhythmic, instrumental, psychedelic, dense, atmospheric","19,608",167,3.83,5c7XChrHxYaqykCZLaGM5f
5,LCD Soundsystem,This Is Happening,18 May 2010,"Dance-Punk, Indietronica","Alternative Dance, New Wave, Electro-Disco, New Rave","sarcastic, rhythmic, energetic, repetitive, male vocals, bittersweet, deadpan, quirky","16,823",190,3.83,4hnqM0JK4CM1phwfq1Ldyz
6,Deathspell Omega,Paracletus,8 November 2010,Black Metal,"Progressive Metal, Avant-Garde Metal","chaotic, infernal, philosophical, uncommon time signatures, dissonant, technical, dense, satanic","6,866",75,3.85,0IacUrFK1BuOr0MrhTGKQN
7,Sufjan Stevens,The Age of Adz,12 October 2010,"Art Pop, Progressive Pop, Indietronica","Glitch Pop, Folktronica, Chamber Pop, IDM","futuristic, epic, introspective, dense, complex, love, lush, passionate","14,832",193,3.82,5U7GN7wM8nZKYeeOoYhPjC
8,Beach House,Teen Dream,26 January 2010,"Dream Pop, Indie Pop",,"soothing, romantic, ethereal, mellow, warm, melancholic, female vocals, melodic","20,142",254,3.78,4sYpTER2iT2Y7Kf4VsfUne
9,Janelle Monáe,The ArchAndroid,18 May 2010,"Contemporary R&B, Art Pop","Neo-Soul, Funk, Psychedelic Soul, Progressive Pop, Neo-Psychedelia","science fiction, eclectic, futuristic, uplifting, concept album, energetic, lush, political","10,823",203,3.81,7MvSB0JTdtl1pSwZcgvYQX
10,Gorillaz,Plastic Beach,9 March 2010,"Electropop, Art Pop","Hip Hop, Alternative Dance, Psychedelic Pop, Synthpop","eclectic, summer, playful, warm, concept album, conscious, male vocals, aquatic","23,043",201,3.75,2dIGnmEIy1WZIcZCFSj6i8
11,Johann Sebastian Bach / La Petite Bande / Sigiswald Kuijken,Matthäus-Passion,13 April 2010,"Baroque Music, Christian Liturgical Music, Oratorio",,"acoustic, orchestral, oratorio, spiritual, melodic, passionate, male vocals, female vocals",506,1,3.85,2ccxnmb2yU8VppOF5pBZNc
12,Deerhunter,Halcyon Digest,28 September 2010,"Neo-Psychedelia, Indie Rock","Dream Pop, Psychedelic Pop","psychedelic, mellow, soothing, atmospheric, melodic, melancholic, bittersweet, alienation","14,138",153,3.75,1HUMjB15ARg96KIypcGzYY
13,The National,High Violet,11 May 2010,Indie Rock,"Chamber Pop, Post-Punk Revival, Art Rock","melancholic, lonely, sombre, male vocals, sad, autumn, poetic, mellow","12,120",282,3.73,6k54ZuG2Z49HQRbJdO65b5
14,Shinsei Kamattechan 神聖かまってちゃん,つまんね (Tsumanne),22 December 2010,Noise Pop,"Shoegaze, Dream Pop, Neo-Psychedelia","androgynous vocals, self-hatred, misanthropic, nihilistic, depressive, noisy, suicide, manic","3,407",23,3.78,0L6mZK9XFXYOVeayI1t4A5
15,Daughters,Daughters,9 March 2010,"Noise Rock, Post-Hardcore","Post-Hardcore, Math Rock, Art Punk, Sasscore","manic, noisy, energetic, chaotic, misanthropic, heavy, dissonant, male vocals","8,329",81,3.75,1xYjZUrVUjcUPnpdnHD9nf
16,Murmuüre,Murmuüre,March 2010,"Atmospheric Black Metal, Ambient, Avant-Garde Metal","Electronic, Industrial, Experimental, Black Noise","noisy, atmospheric, surreal, mysterious, psychedelic, occult, sombre, lo-fi","4,161",43,3.77,
17,Arcade Fire,The Suburbs,3 August 2010,Indie Rock,"Chamber Pop, Indie Pop, Post-Punk Revival, Big Music","melancholic, bittersweet, concept album, male vocals, summer, poetic, melodic, warm","21,108",365,3.69,0gkUcpkyW2SXN49Yktkf6F
18,Nails,Unsilent Death,27 September 2010,"Grindcore, Powerviolence","Crust Punk, Metalcore","aggressive, heavy, chaotic, misanthropic, angry, male vocals, nihilistic, rhythmic","7,171",62,3.75,0C4ZMhVs0I7bHbRdsBWpDV
19,Yellow Swans,Going Places,22 February 2010,"Noise, Drone","Ambient, Ambient Noise Wall","atmospheric, noisy, dense, hypnotic, sombre, dark, melancholic, instrumental","5,354",46,3.75,4Rti9CCEIh5I2ftLnojajm
20,SWR Sinfonieorchester Baden-Baden und Freiburg / ORF Radio-Symphonieorchester Wien / Sylvain Cambreling / Dennis Russell Davies / Friedrich Cerha,Spiegel; Monumentum; Momente,14 September 2010,"Serialism, Orchestral",,"atonal, suspenseful, ominous, complex, sparse, orchestral, dissonant, chaotic",414,6,3.76,31ceXtsghXxm5AiOcD2y5Z
21,Women,Public Strain,28 September 2010,Post-Punk,"Noise Rock, Psychedelic Pop, Lo-Fi / Slacker Rock, No Wave, Noise Pop","winter, lo-fi, cold, androgynous vocals, lonely, cryptic, melancholic, noisy","6,767",59,3.71,3Me1df1lSd9s6zkLUoZO4s
22,Ichiko Aoba 青葉市子,剃刀乙女 (Kamisori otome),20 January 2010,"Contemporary Folk, Singer-Songwriter",,"calm, soft, female vocals, soothing, mellow, acoustic, minimalistic, peaceful","2,478",5,3.74,1lpxxmRaI4loziFL9USol5
23,Alex G,Race,1 January 2010,"Singer-Songwriter, Bedroom Pop, Lo-Fi / Slacker Rock",,"bittersweet, lo-fi, melancholic, male vocals, melodic, mellow, lonely, warm","2,553",20,3.73,3hY0WIR79EKnQcwUsyRy5m
24,Cornelius Cardew / Nima Gousheh,The Great Learning,December 2010,Indeterminacy,"Choral, Drone, Ritual Ambient","ritualistic, aleatory, suspenseful, avant-garde, chaotic, sparse, choral, hypnotic",343,3,3.71,
25,Huun-Huur-Tu,Ancestors Call,October 2010,Tuvan Throat Singing,,"spiritual, longing, melancholic, bittersweet, natural, pastoral, male vocals, repetitive",432,1,3.75,6JgBBDqJ8mOUJvWXpE2ola
26,Chuck Person,Chuck Person's Eccojams Vol. 1,8 August 2010,"Vaporwave, Plunderphonics","Chopped and Screwed, Glitch, Hypnagogic Pop","sampling, repetitive, hypnotic, ethereal, atmospheric, surreal, bittersweet, psychedelic","6,084",61,3.68,
27,Enslaved,Axioma Ethica Odini,27 September 2010,Progressive Metal,Black Metal,"epic, mythology, complex, dark, atmospheric, philosophical, male vocals, progressive","2,724",60,3.70,5HLtji6CTpVsHd7ULMJ8t7
28,Agalloch,Marrow of the Spirit,23 November 2010,Atmospheric Black Metal,"Post-Rock, Dark Folk, Post-Metal, Folk Metal","cold, melancholic, pagan, winter, dark, male vocals, atmospheric, sombre","6,008",114,3.68,6u0SXBufo6Iw7dQzydc3Rs
29,Deftones,Diamond Eyes,4 May 2010,Alternative Metal,"Alternative Rock, Shoegaze","heavy, sexual, atmospheric, male vocals, nocturnal, anxious, dense, rhythmic","7,887",87,3.68,1GjjBpY2iDwSQs5bykQI5e
30,Deepchord Presents Echospace,Liumin,21 June 2010,"Dub Techno, Ambient Dub","Field Recordings, Ambient Techno","urban, nocturnal, atmospheric, hypnotic, repetitive, rhythmic, futuristic, instrumental","3,357",35,3.68,2sBtwfqFvOdUkRxs741VBW
31,Ihsahn,After,26 January 2010,Progressive Metal,"Black Metal, Avant-Garde Metal","complex, progressive, male vocals, eclectic, heavy, dark, atmospheric, introspective","1,828",40,3.68,2cbp7xzpqDmURySnDkhNRR
32,The Roots,How I Got Over,22 June 2010,"East Coast Hip Hop, Conscious Hip Hop",,"introspective, mellow, urban, melodic, sombre, male vocals, conscious, poetic","4,035",75,3.68,25sYZjutddzUpXNbeQ7bEC
33,Various Artists,Whom the Moon a Nightsong Sings,29 October 2010,Dark Folk,"Finnish Folk Music, Nordic Folk Music","nocturnal, nature, calm, acoustic, autumn, melancholic, male vocals, atmospheric","1,155",26,3.69,1owCmNT9Sswuqyohl3GfXJ
