position,artist,album,release_date,primary_genres,secondary_genres,descriptors,number_ratings,number_reviews,avg_rating,id_spotify
1,Swans,To Be Kind,13 May 2014,"Experimental Rock, Post-Rock","Noise Rock, Drone, No Wave, Totalism","repetitive, epic, atmospheric, noisy, aggressive, hypnotic, heavy, male vocals","22,490",269,4.00,4dq7JNcHKrnozzFQg5bpmn
2,Freddie Gibbs & Madlib,Piñata,18 March 2014,Gangsta Rap,Jazz Rap,"crime, urban, drugs, sampling, boastful, male vocals, violence, vulgar","19,870",122,4.01,43uErencdmuTRFZPG3zXL1
3,D'Angelo and The Vanguard,Black Messiah,15 December 2014,Neo-Soul,"Funk, Psychedelic Soul, Funk Rock","romantic, political, sexual, male vocals, sensual, urban, conscious, love","10,161",82,3.93,5Hfbag0SsHxafx1SySFSX6
4,Run the Jewels,Run the Jewels 2,27 October 2014,Hardcore Hip Hop,"Experimental Hip Hop, Political Hip Hop","aggressive, political, energetic, boastful, angry, crime, male vocals, urban","17,961",110,3.80,4Loc7NtCAo9mypHO6kbviD
5,Masakatsu Takagi 高木正勝,かがやき (Kagayaki),15 October 2014,"Chamber Folk, Neoclassical New Age","Field Recordings, Nature Recordings, Japanese Folk Music, Ambient, Min'yō","peaceful, warm, sentimental, calm, atmospheric, lush, soothing, soft","2,655",18,3.86,7yEDBij1NpufZrHxbJlhGc
6,King Gizzard & The Lizard Wizard,I'm in Your Mind Fuzz,31 October 2014,"Psychedelic Rock, Garage Rock","Heavy Psych, Krautrock, Psychedelic Pop","male vocals, psychedelic, energetic, surreal, playful, noisy, hypnotic, rhythmic","8,987",40,3.79,31jHyTSpj8nWQgV45gvZA3
7,Death Grips,Niggas on the Moon: The Powers That B Disc 1,8 June 2014,"Glitch Hop, Experimental Hip Hop, Abstract Hip Hop","Industrial Hip Hop, Abstract Hip Hop, Footwork, Wonky","avant-garde, cryptic, sampling, misanthropic, male vocals, chaotic, ominous, surreal","14,804",86,3.75,5Y04ylQjDWsawOUJXzY4YO
8,Mitski,Bury Me at Makeout Creek,11 November 2014,"Indie Rock, Singer-Songwriter","Noise Pop, Lo-Fi / Slacker Rock","lonely, suicide, anxious, passionate, female vocals, raw, lo-fi, melancholic","8,104",30,3.79,472GvzwE3EZ0i2EEaly5mX
9,Sun Kil Moon,Benji,11 February 2014,"Contemporary Folk, Singer-Songwriter","Americana, Slowcore","death, melancholic, introspective, sombre, autumn, male vocals, serious, sentimental","12,335",166,3.71,2y2QZ4uDpzoZHgH2il5Ktu
10,Madlib,Piñata Beats,3 June 2014,Instrumental Hip Hop,Jazz Rap,"repetitive, instrumental, rhythmic, sampling, lush, summer, warm, uplifting",799,5,3.79,1GYG80diXFWYwH7FJB7KeC
