position,artist,album,release_date,primary_genres,secondary_genres,descriptors,number_ratings,number_reviews,avg_rating,id_spotify
781,Barshasketh,Barshasketh,15 January 2019,Black Metal,,"dissonant, male vocals, philosophical, aggressive, occult, heavy, melodic, dark",421,6,3.26,6MUoHp1LeoIaUMZgR1XIRz
782,Venom Prison,Samsara,15 March 2019,"Deathcore, Death Metal",,"political, female vocals, LGBT, protest, heavy, aggressive, dark, technical",672,4,3.24,6b6JTJkCWhpGVIZvw2zPi3
783,Saint Pepsi,Mannequin Challenge,27 August 2019,"Future Funk, Vaporwave",Synth Funk,"sampling, rhythmic, playful, energetic, warm, uplifting, party, summer",666,10,3.25,
784,Microwave,Death Is a Warm Blanket,13 September 2019,"Post-Hardcore, Alternative Rock","Emo, Grunge","anxious, melancholic, angry, male vocals, energetic",257,7,3.32,3Npw95CLeKN2N2X7KgLl5r
785,Slipknot,We Are Not Your Kind,9 August 2019,Alternative Metal,"Groove Metal, Nu Metal, Industrial Metal","male vocals, heavy, angry, aggressive, violence, dark, rhythmic, introspective","4,054",41,3.20,754RY5WpZ2LTUZsk8kDBju
786,O Terno,<atrás/além>,23 April 2019,Chamber Pop,MPB,"lush, soft, love, bittersweet, sentimental, male vocals, lethargic, introspective",483,8,3.22,5RHNy7sIVDOcLTsz4OeiwL
787,Body Meat,Truck Music,19 April 2019,"Glitch Pop, Alternative R&B","Footwork, Glitch Hop, Trap","futuristic, cryptic, quirky, psychedelic, playful, uncommon time signatures",364,2,3.25,5m9PLhWhhuKJyTEZpBg7SV
788,Blessed,Salt,5 April 2019,"Post-Punk, Indie Rock, Art Punk","Art Rock, Math Rock","male vocals, energetic, repetitive, raw, complex, rhythmic, uncommon time signatures, atmospheric",235,,3.40,3XyFw5CFicWxilan4iubRX
789,Pelican,Nighttime Stories,7 June 2019,Post-Metal,"Atmospheric Sludge Metal, Post-Rock, Stoner Metal","atmospheric, heavy, instrumental, dark, sombre, epic, dense, melancholic",531,5,3.26,7FoulKayGkND0UetxnbxXB
790,Cherubs,Immaculada High,26 July 2019,Noise Rock,Sludge Metal,"male vocals, heavy, raw, psychedelic, aggressive, noisy, surreal, energetic",245,,3.38,2Yrz6d3sGhSJZGTtJndaNa
791,niLL,Lógos,22 August 2019,"Trap, Alternative R&B","Cloud Rap, Synthwave, Pop Rap, Synth Funk","male vocals, sampling, concept album, conscious, futuristic",228,2,3.62,50ymvLZKKjwpANkiMd25ll
792,Robovine,Get Dusted!,30 August 2019,"Progressive Pop, Neo-Psychedelia, Art Pop","Psychedelic Pop, Zolo, Exotica, Rock Opera","quirky, eclectic, male vocals, energetic, complex, lush, psychedelic, uncommon time signatures",227,10,3.43,4mAMPpFgYx28edpowTClYb
793,Infant Annihilator,The Battle of Yaldabaoth,11 September 2019,"Deathcore, Technical Death Metal",Brutal Death Metal,"occult, aggressive, technical, male vocals, chaotic, anti-religious, sexual, violence",554,4,3.21,3d4cxbyEmAYdr4feJ8O9ob
794,Rosalie Cunningham,Rosalie Cunningham,26 July 2019,"Art Rock, Psychedelic Rock","Heavy Psych, Blues Rock","female vocals, warm, playful, psychedelic, breakup, bittersweet, mellow, angry",227,3,3.43,5mENWT44VJdv0bkkjYOjIa
795,Filmmaker,The Love Market,7 April 2019,"Industrial Techno, Electro-Industrial","EBM, Minimal Synth, Darkwave","dark, mechanical, ominous, nocturnal, rhythmic, futuristic, raw, cold","1,562",13,3.24,7hLzkYlPCJbylTMB2Wi9DH
796,fulusu,二辺を別つ声,16 February 2019,Math Rock,"Post-Hardcore, Emo","male vocals, melodic, rhythmic, technical, complex, energetic, uncommon time signatures, passionate",338,2,3.25,7qGUock1DMlD8PoyOWlBFJ
797,Boris,LφVE & EVφL,4 October 2019,"Drone Metal, Post-Rock","Drone, Post-Metal","atmospheric, heavy, male vocals, noisy, psychedelic, hypnotic, lush, repetitive","1,382",9,3.24,6nwy5F5CdGffhlA6BuQM6r
798,As I Lay Dying,Shaped by Fire,20 September 2019,Melodic Metalcore,,"aggressive, triumphant, energetic, male vocals, melodic, passionate, anthemic, heavy",515,6,3.23,3EazR9bCfKpB7AxiOqGKGa
799,Jinjer,Macro,25 October 2019,"Progressive Metal, Alternative Metal","Djent, Metalcore","female vocals, heavy, technical, progressive, rhythmic",456,4,3.23,77TIgLRHTWM6KE3lAUkei7
800,Asuna & Jan Jelinek,Signals Bulletin,12 April 2019,"Drone, Ambient",Progressive Electronic,"hypnotic, meditative, instrumental, mechanical, calm, ethereal, mysterious, atmospheric",302,,3.27,10FIu2uRFbl2UVZSKgaK54
801,Giulio Aldinucci,No Eye Has an Equal,25 October 2019,"Ambient, Electroacoustic, Drone","Glitch, Choral, Field Recordings","ethereal, mysterious, meditative, dense, atmospheric, cold, introspective, existential",232,2,3.45,4SROTNwbohazQdA3yrCumm
802,Westside Gunn,Flygod Is an Awesome God,5 July 2019,"East Coast Hip Hop, Hardcore Hip Hop, Gangsta Rap","Boom Bap, Experimental Hip Hop","crime, urban, boastful, male vocals, drugs, sampling, violence, rhythmic","1,183",11,3.24,2JUpGYRkV6ymlDOX7UFTL7
803,Cosey Fanni Tutti,Tutti,8 February 2019,Post-Industrial,"Dark Ambient, Ambient Techno","hypnotic, dark, atmospheric, rhythmic, mechanical, suspenseful, cold, mysterious",653,3,3.25,0vDE5Ih8hBgox36lqGNBpc
804,Gatecreeper,Deserted,4 October 2019,Death Metal,Death Doom Metal,"heavy, death, aggressive, angry, nihilistic, energetic, dense, ominous",728,5,3.24,0zbbBJJE2O5O2x3zhbUqxt
805,HammerFall,Dominion,16 August 2019,"Power Metal, Heavy Metal",,"energetic, melodic, male vocals, passionate, anthemic",276,10,3.28,1yThRAVE6dvcBIp7hztL65
806,Spool スプール,Spool,13 February 2019,"Dream Pop, Shoegaze",Indie Rock,female vocals,378,1,3.26,7tDWEtkcV4sS6UnpXTy7cM
807,Foals,Everything Not Saved Will Be Lost Part 1,8 March 2019,"Indie Rock, Alternative Dance","Post-Punk Revival, New Wave, Dance-Punk","male vocals, energetic, rhythmic, lush, passionate, melodic, playful, bittersweet","2,764",32,3.22,5oT2zoIrVGJcbVZoNGGZwc
808,City Morgue,City Morgue Vol. 2: As Good As Dead,13 December 2019,"Trap Metal, East Coast Hip Hop","Emo Rap, Horrorcore, Gangsta Rap","male vocals, dark, melodic, crime, aggressive, angry, manic, sad","1,943",10,3.23,6o5cXlhhYbFvewfsYpuyEM
809,Drahla,Useless Coordinates,3 May 2019,"Post-Punk, Art Punk",Noise Rock,"noisy, rhythmic, female vocals, aggressive, energetic, dissonant, deadpan",465,5,3.25,6VWhzAf4eA5pvKr0qMlKYj
810,Russian Circles,Blood Year,2 August 2019,"Post-Metal, Post-Rock",Atmospheric Sludge Metal,"instrumental, heavy, atmospheric, dense, nocturnal, dark, sombre, ominous",776,3,3.24,1LWWmVyhDxFAxBmQe3ecZb
811,Kirinji キリンジ,Cherish,20 November 2019,"City Pop, Nu-Disco","Synth Funk, Dance-Pop","male vocals, mellow, playful, rhythmic, warm, melodic, female vocals, love",223,1,3.52,3hJezmiYPXSjbYEsJ0Xu30
812,Ride,This Is Not a Safe Place,16 August 2019,Alternative Rock,"Dream Pop, Shoegaze, Jangle Pop","male vocals, summer, melodic, bittersweet, psychedelic, noisy, love, atmospheric","1,049",14,3.24,7sFvuGqSAHkmzkjSccSiDK
813,AKAI SOLO & Pink Siifu,Black Sand,22 October 2019,"Abstract Hip Hop, Drumless, Conscious Hip Hop",Jazz Rap,"male vocals, atmospheric, abstract, lethargic, deadpan, mellow, urban",275,1,3.37,7eDhwCvhgz4YyshvOiQ43K
814,Ill Considered,Ill Considered 6,15 January 2019,"Avant-Garde Jazz, Jazz Fusion",Spiritual Jazz,"improvisation, rhythmic, technical, avant-garde, atmospheric, instrumental",221,1,3.48,70K1pqnJKQTyC5eHQbD7aA
815,The Twilight Sad,It Won/t Be Like This All the Time,18 January 2019,"Post-Punk Revival, Indie Rock","Shoegaze, Gothic Rock, Darkwave","melancholic, dark, sad, lush, atmospheric, melodic, depressive, lonely","2,066",25,3.22,6fjyKpK2tERtcadT1FOKS5
816,SeeYouSpaceCowboy,The Correlation Between Entrance and Exit Wounds,27 September 2019,"Metalcore, Mathcore","Post-Hardcore, Melodic Metalcore","female vocals, chaotic, dissonant, heavy, introspective, LGBT, passionate, energetic",818,7,3.22,3kLwTNLWVIuR2ko3Ap61I5
817,Shortparis,Так закалялась сталь,1 November 2019,Coldwave,"Synth Punk, Art Pop, Electro-Industrial, Experimental Rock","male vocals, anxious, cold, futuristic, political, existential",380,3,3.19,4RSGIq9Yu5i70lfXJQ19px
818,Hexvessel,All Tree,15 February 2019,"Psychedelic Folk, Folk Rock, Progressive Folk",Dark Folk,"male vocals, pagan, occult, forest, melodic, atmospheric, nature",316,4,3.25,031ESN9wKQ0B2JJ4jRrOXn
819,Alberich,Quantized Angel,12 April 2019,Post-Industrial,"Dark Ambient, Power Electronics, Power Noise, Industrial Techno, Death Industrial","ominous, mechanical, dark, abstract, sampling",296,1,3.25,0zYDKSJEd3IXxXBQF4HaTh
820,The Delines,The Imperial,11 January 2019,"Americana, Alt-Country","Country Soul, Slowcore","lethargic, female vocals, melancholic, warm",338,6,3.25,0t4p6KCZX3oSoA3jD3TYlu
821,Dave,PSYCHODRAMA,8 March 2019,"UK Hip Hop, Conscious Hip Hop","Political Hip Hop, Trap","concept album, introspective, depressive, conscious, urban, melancholic, boastful, sombre","2,368",18,3.21,4GrFuXwRmEBJec22p58fsD
822,Deli Girls,I Don't Know How to Be Happy,22 February 2019,Synth Punk,"Digital Hardcore, EBM, Industrial Hip Hop, Electro-Industrial","raw, aggressive, ominous, rhythmic, repetitive, anxious, female vocals, angry",455,5,3.23,6jaCAHnNC1mxfrVKAfH4hU
823,Bałtyk,Self-Help Pt. 2,1 June 2019,"Singer-Songwriter, Indie Folk, Bedroom Pop","Lo-Fi / Slacker Rock, Slowcore","lo-fi, lonely, introspective, calm, winter, melancholic, warm, LGBT",223,,3.47,29vNTf6pdsh9N8Alfi8mfK
824,Rustin Man,Drift Code,1 February 2019,Art Rock,"Jazz-Rock, Canterbury Scene, Chamber Jazz","philosophical, sombre, melancholic, mellow, introspective, male vocals, autumn, atmospheric",434,8,3.24,7E97tVDTSx7tRk8v3XGRvS
825,Stenny,Upsurge,19 November 2019,"Ambient Techno, Breakbeat","IDM, Ambient, Jungle","futuristic, atmospheric, sombre, rhythmic, mysterious, space, dense",223,1,3.45,5rwasGMpwvdFwNq8sRSLnW
826,Apollo Brown,"Sincerely, Detroit",29 October 2019,"Boom Bap, Conscious Hip Hop",Abstract Hip Hop,,234,2,3.51,1jAowJ8NjIRzKH6YkfUBKv
827,Deafkids,Metaprogramação,15 March 2019,"Experimental Rock, Industrial Metal","Noise Rock, Power Electronics, Post-Industrial","noisy, dark, atmospheric, rhythmic, male vocals, mechanical, tribal",338,5,3.23,0fG1ujia4cnqOSm6lWdgyV
828,Sadistik,Haunted Gardens,20 April 2019,"Abstract Hip Hop, Conscious Hip Hop",Cloud Rap,male vocals,288,2,3.27,4fUCyiqfFIeUUoqu9SRLpD
829,Sarah Davachi,Pale Bloom,31 May 2019,"Modern Classical, Drone","Electroacoustic, Ambient, Minimalism, Impressionism","calm, meditative, melancholic, minimalistic, funereal, female vocals, male vocals",456,3,3.24,0R70XNTvAFIr34tqRN9viW
830,Vivian Girls,Memory,20 September 2019,"Noise Pop, Indie Rock","Shoegaze, Garage Punk","noisy, dense, melancholic, female vocals",530,3,3.24,4HeavElq33GHFm6QRCCotO
831,The Novembers,Angels,13 March 2019,Art Rock,"Dream Pop, Noise Rock, Noise Pop, Industrial Rock, Synthpop","eclectic, noisy, male vocals, melodic, melancholic, ethereal, raw, Wall of Sound",498,1,3.23,3qnIOIIwnzeeVmRHpW1Sw6
832,Alex Lahey,The Best of Luck Club,17 May 2019,"Power Pop, Indie Rock","Singer-Songwriter, Garage Rock","melodic, female vocals, concept album, longing, LGBT, bittersweet, energetic, raw",282,3,3.24,4tJrRPoZQsGRCmIrtFSqgV
833,Lust for Youth,Lust for Youth,7 June 2019,"Synthpop, Alternative Dance, New Romantic","New Wave, Euro House","rhythmic, introspective, male vocals, bittersweet, melancholic, poetic, lush, passionate",465,6,3.22,6Q0VmOEaGjo2ZThUzBtixp
834,Bull of Apis Bull of Bronze,Offerings of Flesh and Gold,21 June 2019,Atmospheric Black Metal,,"heavy, political, dense, ominous, epic, atmospheric, aggressive, suspenseful",232,2,3.41,6EYkdrprx4OYPLLsTCOyJN
835,Jenny Lewis,On the Line,22 March 2019,"Soft Rock, Pop Rock","Americana, Piano Rock, Country Pop","female vocals, lush, soft, love, sentimental, drugs, introspective",938,13,3.22,2AHG3vkC3H7zqHbYdgCCcy
836,Cass McCombs,Tip of the Sphere,8 February 2019,"Folk Rock, Singer-Songwriter, Psychedelic Folk",Psychedelic Rock,"male vocals, mellow, melancholic, warm, surreal, eclectic",609,3,3.23,7A9lD57JDmqxshUGkvTdiG
837,Steve Gunn,The Unseen in Between,18 January 2019,"Folk Rock, Singer-Songwriter","Psychedelic Folk, Americana",,516,8,3.23,7Db0iBxkTJ6obRtPiTZMnI
838,Diät,Positive Disintegration,22 February 2019,Post-Punk,"Noise Rock, Gothic Rock","repetitive, rhythmic, male vocals",329,,3.23,4YoJWWjXwV8SznADbmrFPI
839,Yak,Pursuit of Momentary Happiness,8 February 2019,Garage Rock Revival,"Psychedelic Rock, Noise Rock, Lo-Fi / Slacker Rock, Garage Rock","raw, male vocals, rebellious, melodic, noisy",271,3,3.26,6ngLwIKS3lOdl8UoMpnK5z
840,Aries,Welcome Home,18 April 2019,"Emo Rap, Pop Rap, Alternative R&B","Trap, Alt-Pop","melodic, male vocals, summer, apathetic, melancholic, mellow, alcohol, sombre","1,045",12,3.20,5mhk8zefF4GbRyPMyvnwXT
841,Blindead,Niewiosna,5 April 2019,Post-Metal,"Spoken Word, Atmospheric Sludge Metal","dark, atmospheric, male vocals, complex, dissonant, heavy, ominous, cryptic",321,6,3.23,3P0SJRGhpErHPpPCPQsBGQ
842,Niño de Elche,Colombiana,24 May 2019,"Freak Folk, Flamenco nuevo, Latin Alternative","Rumba flamenca, Guaracha, Avant-Folk, Digital Cumbia","avant-garde, surreal, tropical, psychedelic, drugs, male vocals, eclectic, satirical",266,1,3.24,71DA1lG47JXG6YNggUB55b
843,Cherry Glazerr,Stuffed & Ready,1 February 2019,Indie Rock,"Noise Pop, Alternative Rock, Dream Pop, Grunge","anxious, female vocals",931,5,3.21,1EE4A8oz3gG7CZUdFj7KMh
844,The Japanese House,Good at Falling,1 March 2019,"Synthpop, Indietronica, Alt-Pop","Ambient Pop, Art Pop, Dream Pop, Indie Pop","soft, melodic, bittersweet, LGBT, love, introspective, lush, mellow","1,303",4,3.21,3Pa8W1UOD018R21VgOPTYZ
845,Kedr Livanskiy,Your Need,3 May 2019,Outsider House,"Breakbeat, Synthpop, Hypnagogic Pop, Minimal Wave, Ambient Dub","female vocals, rhythmic, playful, atmospheric, repetitive, lush, spring, hypnotic",927,6,3.22,4LQnP464IJRnX6V6wR81Zy
846,CHON,Chon,7 June 2019,"Math Rock, Jazz Fusion","Jazz Fusion, Progressive Rock","instrumental, technical, energetic, uncommon time signatures, peaceful, progressive",619,8,3.22,31xSTnqna5WeOdCN0AJMNJ
847,The Gerogerigegege,Uguisudani Apocalypse,17 August 2019,"Lounge, Kayōkyoku","Jazz-Funk, Noise Rock","playful, eclectic, repetitive, instrumental, lo-fi, calm, mellow, sampling",371,3,3.23,
848,Andrew Pekler,Sounds From Phantom Islands,8 November 2019,"Electroacoustic, Tribal Ambient, Field Recordings",,"ethereal, aquatic, meditative, aleatory, hypnotic, dissonant, mellow, mechanical",223,3,3.40,4Oa4FMxiEfKLDK1dzhmraI
849,The Aristocrats,You Know What...?,19 June 2019,"Progressive Rock, Jazz-Rock",Jazz Fusion,"instrumental, uncommon time signatures, warm, playful, progressive",193,2,3.58,4o8lhtUGjSJxEWmxuy7lvw
850,Whitney,Forever Turned Around,30 August 2019,"Indie Pop, Indie Folk","Country Soul, Chamber Folk, Soft Rock","lush, warm, bittersweet, romantic, soothing, mellow, pastoral, melodic",854,5,3.22,2tEnM0jAnGCfNvrhVVVZ3h
851,Dis Fig,Purge,15 March 2019,Post-Industrial,"Dark Ambient, Death Industrial, Power Noise","atmospheric, suspenseful, female vocals, disturbing, sombre, noisy, dark, scary",358,1,3.24,52Un5YhkbRyt1POIsrqaft
852,Steve Hauschildt,Nonlin,25 October 2019,"Progressive Electronic, Ambient","Ambient Techno, Space Ambient, Berlin School, Modern Classical","lethargic, existential, futuristic, mysterious, lush, space, complex, cold",263,1,3.28,3TkzTDlRwpaEgXzLK7MsL3
853,Neil Young & Crazy Horse,Colorado,25 October 2019,"Country Rock, Singer-Songwriter",Folk Rock,"male vocals, political, conscious, raw",799,12,3.21,47EbZp22zR6rGhKJJsuZBv
854,Brother Ali,Secrets & Escapes,1 November 2019,"Conscious Hip Hop, Boom Bap",,,257,7,3.35,10tCpz2YtHOCjsduWOdexU
855,Tool,Fear Inoculum,30 August 2019,Progressive Metal,"Alternative Metal, Progressive Rock, Post-Metal","male vocals, uncommon time signatures, complex, technical, progressive, hypnotic, philosophical, meditative","9,170",199,3.14,7acEciVtnuTzmwKptkjth5
856,MONO,Nowhere Now Here,25 January 2019,Post-Rock,,"melancholic, epic, heavy, atmospheric, instrumental, suspenseful, instrumental, dense","1,230",13,3.21,4SnsgTwNCmqJMOiuj4hxH3
857,Ashley Ninelives,Eagle Creek,14 February 2019,"Noise Pop, Lo-Fi / Slacker Rock","Dance-Punk, Alternative Dance","LGBT, sexual, energetic, love, playful, sarcastic, drugs, noisy",315,9,3.17,3buO7qAmq8PVD7JqyoTaJA
858,Midnight Odyssey,Biolume Part 1: In Tartarean Chains,1 November 2019,Atmospheric Black Metal,Ambient,"concept album, space, epic, atmospheric, ethereal, male vocals, cold",217,4,3.48,11cLcw91UXLHDsnabWtoap
859,Billy Strings,Home,27 September 2019,Progressive Bluegrass,Jamgrass,"technical, male vocals, uplifting, playful, folklore",178,2,3.68,6Wpawdx7fSuBAKY0t793fx
860,Saint Jhn,Ghetto Lenny's Love Songs,23 August 2019,"Pop Rap, Alternative R&B",Trap,"melodic, love, male vocals, atmospheric, nocturnal",439,1,3.22,06vukn88R2dOCd6sfMaogd
861,"Visible Cloaks, Yoshio Ojima & Satsuki Shibano",FRKWYS Vol. 15: Serenitatem,5 April 2019,"Ambient, New Age","Sequencer & Tracker, Impressionism, Utopian Virtual","generative music, lush",377,2,3.23,5l69NsahjgyhPCZNzVVGls
862,She Past Away,Disko anksiyete,14 July 2019,"Darkwave, Gothic Rock","Synthpop, Post-Punk","dark, rhythmic, cold, male vocals, apathetic, mechanical, ethereal, nocturnal",325,3,3.22,2ErVLQ217KC5srxpS3tQz9
863,Sir Babygirl,Crush on Me,15 February 2019,"Synthpop, Electropop","Alternative Dance, Indie Pop","LGBT, passionate, anthemic, anxious, female vocals, bittersweet, sarcastic, manic",511,4,3.21,5zR1UmNJjxW8YE0nwf0jcb
864,$ilkMoney,G.T.F.O.M.D: There’s Not Enough Room for All You Motha Fuckas to Be on It Like This,15 December 2019,"Cloud Rap, Hardcore Hip Hop, Trap","Abstract Hip Hop, Experimental Hip Hop, Conscious Hip Hop, Plugg","vulgar, humorous, boastful, male vocals, energetic",305,2,3.28,0bh0XYNyfyC2rybpzHTC85
865,chelmico,Fishing,21 August 2019,"Japanese Hip Hop, Pop Rap","Drum and Bass, Funk","female vocals, energetic, playful, rhythmic",258,3,3.38,4AH4mit2y1i7UgaRkGIfch
866,Hour of Penance,Misotheism,25 October 2019,Technical Death Metal,Brutal Death Metal,"technical, male vocals, dark, complex, hateful, aggressive, anti-religious, violence",222,2,3.41,5oIuR5FECdHxwOrft9wWoG
867,Nanoshrine,The Demise of Nanami,13 December 2019,"Future Funk, Vaporwave","Electro House, K-Pop","energetic, rhythmic, party, melodic, playful, sampling, concept album, anthemic",209,5,3.52,
868,Efdemin,New Atlantis,15 February 2019,Minimal Techno,"Dub Techno, Ambient Techno, Drone","hypnotic, atmospheric, rhythmic, futuristic, repetitive, sampling, concept album, mysterious",651,,3.22,0DvULRThTYtegc9nMTxkTx
869,Mary Lattimore & Mac McCaughan,New Rain Duets,22 March 2019,"Ambient, Electroacoustic",New Age,"hypnotic, meditative, instrumental, ethereal, atmospheric, melancholic, peaceful, improvisation",283,,3.24,1ActYyxkaNdrAFKZztvA4p
870,Automatic,Signal,27 September 2019,"Post-Punk, Minimal Synth","Synthpop, Dance-Punk","female vocals, rhythmic, mellow, nocturnal, soft",253,1,3.33,7kF8UP2TTuSdrCqtkxhYSN
871,M. Geddes Gengras,I Am the Last of That Green and Warm-Hued World,17 May 2019,"Ambient, Electronic, Space Ambient","Electroacoustic, Drone, Sound Collage, New Age","atmospheric, hypnotic, instrumental, mysterious, meditative, lush, psychedelic, peaceful",233,1,3.38,0oU6j8BlHZTt0C066NAclN
